"","clave_mun","staff","presupparcial","light","waste","poli","tax","pobtot2018","P60","ingpc2015","salmed","compstaff","pcollege","progtot","capreg","pagemed","pageold","ptemp","party2","party","pct_muj"
"1",1001,8002,2194029879,53588,677,79713,0.13600458637611,918594,0.103032460477643,35871.1482725854,181886.450762309,0.235566108472882,0.167208197950512,19,0,0.469507623094226,0.307298175456136,0.396025993501625,"PAN","PAN",0.318140263810892
"2",1002,427,113255962,3902,26,1535,0.0283830603858885,50324,0.0889237739448375,16395.9292836738,170311.053864169,0.173302107728337,0.166276346604215,2,0,0.384074941451991,0.318501170960187,0,"PRI","PRI",0.34192037470726
"3",1003,775,248861633,5315,50,4313,0.0415324347508374,57424,0.128709250487601,18107.0862039708,147260.312258065,0.265806451612903,0.0141935483870968,7,0,0.401290322580645,0.285161290322581,0,"PAN","PAN",0.31586402266289
"4",1004,297,71738270,1170,6,1446,0.0098168442950658,16610,0.0918121613485852,16974.9279811098,174617.606060606,0.259259259259259,0.141414141414141,2,0,0.383838383838384,0.326599326599327,0,"Other","Other",0.38047138047138
"5",1005,1186,260948684,8500,74,10370,0.209405489554322,123862,0.0721771003213253,32254.8583556131,208667.317875211,0.389544688026981,0.164418212478921,7,0,0.406408094435076,0.262225969645868,0,"PAN","PAN",0.396290050590219
"6",1006,659,174854939,2600,32,57038,0.0268135052093523,46486,0.0901991997590672,22804.0659178876,133319.233687405,0.279210925644917,0.0819423368740516,5,0,0.321699544764795,0.400606980273141,0.0273141122913505,"LEFT","LEFT",0.385135135135135
"7",1007,521,171911687,4062,33,3181,0.0482381438164401,55724,0.0883999712870576,19339.6995737195,165869.856046065,0.172744721689059,0.0307101727447217,15,0,0.424184261036468,0.295585412667946,0,"PRI","PRI",0.401639344262295
"8",1008,421,92912966,1325,5,951,0.0077668916719233,9331,0.0983817382917158,19773.0143783479,125106.543942993,0.287410926365796,0.182897862232779,0,0,0.451306413301663,0.142517814726841,0.368171021377672,"PAN","PAN",0.410926365795724
"9",1009,408,84008488,2835,13,1739,0.0214837594958481,21924,0.0940977923736544,17795.0994776553,106020.446078431,0.071078431372549,0.0686274509803922,13,0,0.438725490196078,0.149509803921569,0,"PRI","PRI",0.497549019607843
"10",1010,316,104662294,2300,18,1439,0.0195041686993295,20444,0.0921052631578947,17128.8959760807,146763.490506329,0.231012658227848,0.132911392405063,7,0,0.449367088607595,0.284810126582278,0.594936708860759,"PRI","PRI",0.512658227848101
