"","clave_mun","POBTOT","P_60YMAS","pob_urb"
"1",1001,948990,102987,901446
"2",1002,51536,4697,17760
"3",1003,58250,7829,28367
"4",1004,17000,1613,8477
"5",1005,129929,9815,97524
"6",1006,47646,4481,35351
"7",1007,57369,5264,42562
"8",1008,9552,956,5607
"9",1009,22485,2158,9114
"10",1010,20853,1988,6307
"11",1011,61997,3588,46196
"12",2001,443807,53463,399691
"13",2002,1049792,122934,966003
"14",2003,108440,11535,93564
"15",2004,1922523,169282,1893361
"16",2005,126890,14292,109884
"17",2006,117568,7796,76417
"18",3001,73021,9649,58680
"19",3002,64022,6741,42684
"20",3003,292241,37267,270846
"21",3008,351111,19895,338979
"22",3009,18052,2056,16311
"23",4001,59232,7445,45571
"24",4002,294077,37321,267558
"25",4003,248845,23814,219186
"26",4004,78170,8353,48846
"27",4005,31917,3659,21026
"28",4006,42140,4331,15852
"29",4007,8683,1164,3485
"30",4008,11452,1273,8748
"31",4009,59923,5915,35338
"32",4010,31714,2560,5729
"33",4011,46913,4804,11121
"34",4012,15297,1977,14127
"35",5001,1022,230,NA
"36",5002,163058,11800,160225
"37",5003,23056,2770,21376
"38",5004,29578,3332,18110
"39",5005,1643,299,NA
"40",5006,29128,3416,27314
"41",5007,12715,1668,10395
"42",5008,3047,433,NA
"43",5009,59035,6522,35483
"44",5010,82409,9286,77831
"45",5011,11898,1781,5535
"46",5012,1643,286,NA
"47",5013,1735,201,NA
"48",5014,9502,1163,3303
"49",5015,1584,225,NA
"50",5016,1764,343,NA
"51",5017,118337,12999,77286
"52",5018,237951,30877,237169
"53",5019,7928,1017,6720
"54",5020,71627,9377,67247
"55",5021,6539,922,4526
"56",5022,33129,3208,32213
"57",5023,9642,1187,3651
"58",5024,44472,5952,34798
"59",5025,176327,17040,173959
"60",5026,3239,499,NA
"61",5027,122243,7422,114010
"62",5028,64811,8148,62643
"63",5029,2471,328,NA
"64",5030,879958,89453,864431
"65",5031,24759,3406,23413
"66",5032,42260,6927,39058
"67",5033,101041,12742,60170
"68",5034,6744,563,4573
"69",5035,720848,87543,698493
"70",5036,20305,2569,3522
"71",5037,6188,785,5443
"72",5038,13135,1818,11150
"73",6001,27626,3966,21759
"74",6002,157048,25213,146965
"75",6003,21661,3253,14485
"76",6004,20837,2980,14892
"77",6005,31267,4849,23005
"78",6006,5623,909,2985
"79",6007,191031,20091,172159
"80",6008,10231,1184,6075
"81",6009,116305,13133,108878
"82",6010,149762,15979,147496
"83",7001,17994,1839,8092
"84",7002,21187,2424,15001
"85",7003,26899,3358,6247
"86",7004,36160,2223,10618
"87",7005,24512,1818,4327
"88",7006,31735,3348,5820
"89",7007,11283,844,5920
"90",7008,31947,2768,18685
"91",7009,41135,6068,28908
"92",7010,7365,741,NA
"93",7011,20157,2227,NA
"94",7012,64632,5020,45962
"95",7013,37263,2210,14200
"96",7014,24273,1336,11630
"97",7015,50112,5653,24504
"98",7016,17619,2738,3344
"99",7017,88106,9942,52670
"100",7018,9900,978,3770
"101",7019,166178,16157,116220
"102",7020,49920,5114,17300
"103",7021,22192,2684,7125
"104",7022,21915,858,NA
"105",7023,101967,6657,4727
"106",7024,13678,804,9533
"107",7025,7472,799,3498
"108",7026,47371,2248,4369
"109",7027,112075,10411,66584
"110",7028,6156,704,4329
"111",7029,5402,582,3947
"112",7030,36785,3590,10429
"113",7031,137262,7276,22052
"114",7032,30896,3653,10624
"115",7033,7245,554,NA
"116",7034,80897,7684,28585
"117",7035,14556,1547,6784
"118",7036,7701,740,NA
"119",7037,36333,4157,15296
"120",7038,22975,2017,NA
"121",7039,27893,2100,3508
"122",7040,53242,6170,32109
"123",7041,46409,4105,14980
"124",7042,11377,964,3674
"125",7043,10961,1096,5309
"126",7044,28999,2160,6481
"127",7045,6284,590,NA
"128",7046,41063,6155,14169
"129",7047,24966,1431,11250
"130",7048,21807,2789,7809
"131",7049,31259,1553,3954
"132",7050,5232,871,NA
"133",7051,46130,5501,19271
"134",7052,141027,10076,33196
"135",7053,7901,1006,NA
"136",7054,28250,3442,12219
"137",7055,5876,707,2860
"138",7056,13755,572,NA
"139",7057,76398,7378,30545
"140",7058,4765,334,4765
"141",7059,234661,13329,74436
"142",7060,14088,1089,5330
"143",7061,97397,8417,47951
"144",7062,18469,1775,3141
"145",7063,3983,373,NA
"146",7064,54932,3574,13981
"147",7065,132265,10571,51797
"148",7066,26391,1373,8629
"149",7067,12266,1030,NA
"150",7068,31919,3633,15244
"151",7069,51193,6939,18219
"152",7070,12263,1179,NA
"153",7071,30297,3527,8222
"154",7072,29636,1830,12805
"155",7073,10866,819,6860
"156",7074,44829,4303,29018
"157",7075,28829,2658,21194
"158",7076,29889,2307,6190
"159",7077,64251,5663,6181
"160",7078,215874,16605,183509
"161",7079,41793,3715,15310
"162",7080,25937,2351,3645
"163",7081,52935,2963,20613
"164",7082,15518,804,NA
"165",7083,19092,1974,5244
"166",7084,8561,856,NA
"167",7085,10890,946,7994
"168",7086,25627,2420,22354
"169",7087,41672,3620,22581
"170",7088,2308,242,NA
"171",7089,353706,37919,254201
"172",7090,4547,533,NA
"173",7091,13592,1263,8421
"174",7092,21426,2460,4950
"175",7093,48162,2916,8464
"176",7094,49499,3513,25636
"177",7096,83505,6061,27668
"178",7097,91913,11637,52357
"179",7098,7211,583,4600
"180",7099,83111,8950,23803
"181",7100,38025,3373,10962
"182",7101,604147,65271,594496
"183",7102,41024,4878,16539
"184",7103,30302,3395,6106
"185",7104,16560,1900,9412
"186",7105,16008,2179,7321
"187",7106,67292,6929,41780
"188",7107,65643,7093,42321
"189",7108,109536,12369,74664
"190",7109,40285,3281,18926
"191",7110,7526,626,4998
"192",7111,45373,2995,20545
"193",7112,37948,1787,11799
"194",7113,8480,398,NA
"195",7114,23603,1509,10026
"196",7115,14714,908,2705
"197",7116,12892,819,2769
"198",7117,8412,633,3191
"199",7118,6047,339,3869
"200",7119,4959,208,NA
"201",7120,4315,316,NA
"202",7121,8718,558,6732
"203",7122,15587,2005,11949
"204",7123,10783,1316,5240
"205",7124,23847,2220,7968
"206",7125,11650,961,NA
"207",8001,14635,1403,10510
"208",8002,26047,3152,22568
"209",8003,8487,1633,4608
"210",8004,24344,1108,25988
"211",8005,26093,2658,21108
"212",8006,5807,1250,NA
"213",8007,16440,1839,NA
"214",8008,11270,1046,NA
"215",8009,23351,2780,15383
"216",8010,25146,3095,20179
"217",8011,49499,6747,42019
"218",8012,8113,1207,NA
"219",8013,11815,1682,7134
"220",8014,2034,429,NA
"221",8015,1230,255,NA
"222",8016,3704,629,NA
"223",8017,180638,20497,145782
"224",8018,5099,984,NA
"225",8019,937674,117377,925762
"226",8020,6222,794,NA
"227",8021,150506,19240,140157
"228",8022,2456,846,NA
"229",8023,6656,618,2504
"230",8024,3791,809,NA
"231",8025,7023,1432,4484
"232",8026,2448,709,NA
"233",8027,50180,4618,17410
"234",8028,4237,604,NA
"235",8029,50514,4067,9186
"236",8030,8196,976,2746
"237",8031,35473,5786,19115
"238",8032,116662,15553,113843
"239",8033,824,199,NA
"240",8034,5196,1218,2830
"241",8035,11005,1212,3194
"242",8036,40859,5211,35087
"243",8037,1512450,134989,1504934
"244",8038,4980,875,NA
"245",8039,4122,763,NA
"246",8040,25144,4012,17714
"247",8041,1302,203,NA
"248",8042,1178,276,NA
"249",8043,2742,630,NA
"250",8044,4314,787,2694
"251",8045,44853,5918,32979
"252",8046,7266,718,NA
"253",8047,4447,575,NA
