id,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22
50,Estado de México,Estado de México,LEM,1,4,Si,iOS,Windows,10/08/02,Mujer,158,45,a veces cada mes,Act-II (microondas),"Caramelo, Mantequilla, Con chile, Queso",50,Regular,50,1,3,3
16,Tlaxcala,Puebla,LED,1,5 o más,No,iOS,Mac,22/05/02,Mujer,168,70.5,a veces cada mes,Act-II (microondas),"Caramelo, Mantequilla",10,Bien,20,2,5,3
43,León,Monterrey,Médico Cirujano,2,5 o más,Si,iOS,Mac,17/12/01,Mujer,170,65,a veces cada mes,Palomitas de cine,"Caramelo, Mantequilla, Con chile, Queso",50,Regular,20,2,5,1
49,Nuevo Laredo,Monterrey,IDM,1,3,Si,Android,Windows,30/09/02,Hombre,170,64,a veces cada mes,Act-II (microondas),"Caramelo, Mantequilla, Con chile",40,Nada,30,2,5,3
58,Estado de mexico,Estado de México,IE,1,3,Si,Android,Windows,06/05/02,Hombre,177,80,a veces cada mes,Act-II (microondas),"Caramelo, Mantequilla, Con chile, Queso",30,Nada,50,2,4,3
53,Guadalajara,Guadalajara,Emprendimiento,2,5 o más,Si,iOS,Mac,18/10/02,Mujer,172,65,a veces cada mes,Act-II (microondas),"Caramelo, Mantequilla, Con chile, Queso",40,Regular,80,2,5,5
47,Estado de mexico,Estado de México,IIS,0,3,Si,Android,Windows,23/11/01,Hombre,190,88,a veces cada mes,Palomitas de cine,"Caramelo, Mantequilla, Con chile, Takis, Nacho",10,Nada,100,2,5,2
71,Córdoba,Puebla,Diseño,1,3,Si,iOS,Windows,23/09/00,Mujer,160,70,a veces cada mes,Palomitas de cine,"Caramelo, Mantequilla, Con chile, Queso",100,Bien,100,2,5,3
23,Monterrey,Monterrey,IBT,2,3,No,iOS,Windows,04/07/02,Hombre,180,74,a veces cada mes,Act-II (microondas),"Caramelo, Mantequilla, Con chile, Queso",30,Nada,20,3,4,3
24,Monterrey,Monterrey,IIS,1,4,No,iOS,Windows,22/10/01,Hombre,174,64,a veces cada mes,Act-II (microondas),"Mantequilla, Con chile",40,Regular,20,3,5,2
64,Hermosillo,Monterrey,IFI,2,4,Si,Android,Windows,24/02/02,Hombre,174,86,a veces cada mes,Act-II (microondas),"Caramelo, Mantequilla",15,Bien,50,3,5,4
26,Monterrey,Monterrey,ICDM,2,5 o más,No,Android,Windows,06/10/01,Hombre,181,90,a veces cada mes,Act-II (microondas),"Caramelo, Mantequilla, Con chile, Queso",30,Regular,50,3,5,5
31,Ciudad de México,Estado de México,IMT,1,4,Si,iOS,Windows,24/04/99,Hombre,178,72,a veces cada mes,Palomitas de cine,"Caramelo, Mantequilla, Con chile, Queso",50,Regular,50,3,4,4
57,Xalapa,Veracruz,IMT,1,4,Si,Android,Windows,19/07/01,Hombre,172,60,cada 15 dias,Palomitas de cine,"Caramelo, Mantequilla, Con chile, Queso",50,Muy bien,100,3,5,4
15,CDMX,Santa Fe,IIS,2,4,Si,Android,Windows,18/12/01,Hombre,173,65,cada 15 dias,Act-II (microondas),"Caramelo, Mantequilla, Con chile, Queso",75,Nada,100,3,5,4
28,Metepec,Toluca,IBT,1,3,Si,Android,Windows,19/04/02,Mujer,167,53,a veces cada mes,Act-II (microondas),"Caramelo, Mantequilla, Con chile, Queso",100,Nada,150,3,5,5
10,Monterrey,Monterrey,IDM,2,2,Si,Android,Windows,08/10/01,Mujer,160,80,a veces cada mes,Act-II (microondas),"Caramelo, Mantequilla, Queso",20,Regular,200,3,4,4
17,Guadalajara,Guadalajara,IIS,0,2,Si,iOS,Mac,05/05/02,Hombre,178,81,a veces cada mes,Act-II (microondas),"Caramelo, Mantequilla, Con chile, Queso",25,Regular,30,3,5,5
2,Guadalajara,Guadalajara,LEM,3,4,Si,iOS,Mac,01/10/01,Mujer,167,57,a veces cada mes,Act-II (microondas),"Caramelo, Mantequilla, Con chile, Queso",25,Regular,40,3,5,4
39,Chiahuahua,Chihuahua,LEM,1,5 o más,Si,iOS,Mac,09/05/01,Hombre,185,85,a veces cada mes,Pops de Barcel,"Caramelo, Mantequilla, Con chile, Queso",10,Bien,30,3,5,3
68,Hermosillo,Sonora Norte,IIS,3,5 o más,Si,iOS,Mac,07/06/01,Mujer,165,57,a veces cada mes,Act-II (microondas),"Caramelo, Mantequilla, Con chile, Queso",70,Regular,25,5,5,4
56,Toluca,Monterrey,IMD,1,2,Si,iOS,Windows,31/08/02,Mujer,158,65,cada 15 dias,Palomitas de cine,"Caramelo, Mantequilla, Con chile, Queso",30,Regular,30,5,5,5
12,Hermosillo,Sonora Norte,IMT,2,5 o más,Si,Android,Windows,09/03/02,Mujer,170,60,a veces cada mes,Palomitas de cine,"Caramelo, Mantequilla, Con chile, Queso",50,Regular,30,5,3,3
29,Monterrey,Monterrey,IFI,1,4,Si,Android,Windows,07/05/01,Hombre,170,63,cada 15 dias,Palomitas de cine,"Mantequilla, sal",15,Regular,30,5,3,2
32,"Coatzacoalcos, Ver.",Puebla,LAF,2,5 o más,No,Android,Windows,01/09/02,Mujer,165,62,a veces cada mes,Palomitas de cine,"Caramelo, Mantequilla, Con chile, Queso",20,Muy bien,40,5,5,4
19,Metepec,Toluca,BGB,1,4,Si,Android,Windows,10/04/02,Hombre,180,75,a veces cada mes,Act-II (microondas),"Caramelo, Mantequilla, Con chile, Queso",15,Regular,50,5,5,5
22,Monterrey,Monterrey,IIS,0,2,Si,iOS,Mac,05/01/02,Mujer,168,75,a veces cada mes,Act-II (microondas),"Caramelo, Mantequilla, Con chile, Queso",20,Regular,50,5,5,4
66,CDMX,Ciudad de Mexico,BGB,1,4,Si,Android,Windows,09/03/02,Hombre,175,85,a veces cada mes,Palomitas de cine,"Caramelo, Mantequilla",30,Nada,50,5,4,2
