id,docs,staff,beds,op_rooms,id,surgery,consult,days,id,year,pop,income,P60,urb,hhi,special,central,north,west,big,small
1001 32 2140,54,70,45,3,1001 32 2140,464,0,4440,1001 32 2140,2020,1140916,5490.24385669059,0.102014521665048,0.916076205434931,1400.69431740898,0,0,0,1,1,0
1001 2 0835,20,18,6,2,1001 2 0835,251,0,753,1001 2 0835,2020,1140916,5490.24385669059,0.102014521665048,0.916076205434931,1400.69431740898,0,0,0,1,0,1
1001 1 0888,183,44,16,2,1001 1 0888,2974,0,10854,1001 1 0888,2020,1140916,5490.24385669059,0.102014521665048,0.916076205434931,1400.69431740898,0,0,0,1,0,0
1001 24 0642,2,13,10,2,1001 24 0642,246,0,3114,1001 24 0642,2020,1140916,5490.24385669059,0.102014521665048,0.916076205434931,1400.69431740898,1,0,0,1,0,0
1001 31 0572,14,43,7,2,1001 31 0572,549,0,5226,1001 31 0572,2020,1140916,5490.24385669059,0.102014521665048,0.916076205434931,1400.69431740898,0,0,0,1,0,1
1001 43 0290,93,193,44,5,1001 43 0290,1851,0,42090,1001 43 0290,2020,1140916,5490.24385669059,0.102014521665048,0.916076205434931,1400.69431740898,0,0,0,1,1,0
1001 34 0939,26,16,6,2,1001 34 0939,621,0,1893,1001 34 0939,2020,1140916,5490.24385669059,0.102014521665048,0.916076205434931,1400.69431740898,0,0,0,1,0,1
1001 25 0572,5,156,33,6,1001 25 0572,1331,0,21918,1001 25 0572,2020,1140916,5490.24385669059,0.102014521665048,0.916076205434931,1400.69431740898,0,0,0,1,1,0
1001 47 0869,11,65,48,4,1001 47 0869,2276,0,42540,1001 47 0869,2020,1140916,5490.24385669059,0.102014521665048,0.916076205434931,1400.69431740898,0,0,0,1,1,0
1001 37 0869,6,46,24,2,1001 37 0869,398,0,10179,1001 37 0869,2020,1140916,5490.24385669059,0.102014521665048,0.916076205434931,1400.69431740898,0,0,0,1,0,0
1001 29 2193,20,27,10,2,1001 29 2193,465,0,6264,1001 29 2193,2020,1140916,5490.24385669059,0.102014521665048,0.916076205434931,1400.69431740898,0,0,0,1,0,0
1001 45 0854,80,18,4,2,1001 45 0854,1114,0,3342,1001 45 0854,2020,1140916,5490.24385669059,0.102014521665048,0.916076205434931,1400.69431740898,0,0,0,1,0,1
1001 35 1373,12,13,10,2,1001 35 1373,162,367,642,1001 35 1373,2020,1140916,5490.24385669059,0.102014521665048,0.916076205434931,1400.69431740898,0,0,0,1,0,0
1001 39 0892,21,45,29,3,1001 39 0892,2950,0,15108,1001 39 0892,2020,1140916,5490.24385669059,0.102014521665048,0.916076205434931,1400.69431740898,0,0,0,1,1,0
1001 36 2672,17,10,5,2,1001 36 2672,859,0,2745,1001 36 2672,2020,1140916,5490.24385669059,0.102014521665048,0.916076205434931,1400.69431740898,0,0,0,1,0,1
1001 40 0939,3,78,20,5,1001 40 0939,3452,3448,12627,1001 40 0939,2020,1140916,5490.24385669059,0.102014521665048,0.916076205434931,1400.69431740898,1,0,0,1,0,0
2001 14 0435,8,8,2,1,2001 14 0435,140,6989,537,2001 14 0435,2020,443807,5983.35824806729,0.120464526246769,0.900596430430345,1909.39213480848,0,0,1,0,0,1
2001 1 0577,6,40,19,2,2001 1 0577,342,1996,6651,2001 1 0577,2020,443807,5983.35824806729,0.120464526246769,0.900596430430345,1909.39213480848,0,0,1,0,0,0
2001 15 0435,2,11,7,2,2001 15 0435,162,100,723,2001 15 0435,2020,443807,5983.35824806729,0.120464526246769,0.900596430430345,1909.39213480848,0,0,1,0,0,1
