"","X","folio","anyo","staff_t","tot_veh","can_ton","reg","base","compact","truck","pickup","o_veh","n_orgs","a_10","a_20","a_15plus","POBTOT","P60","hoteles","ingpc2015"
"1",1,1001,2018,681,78,677,"pub",278,53,8,11,6,1,0.58974358974359,0.371794871794872,0.102564102564103,918594,0.103032460477643,111,35871.1482725854
"2",2,1002,2018,8,5,26,"pub",5,0,5,0,0,1,0.4,0.2,0.4,50324,0.0889237739448375,0,16395.9292836738
"3",3,1003,2018,80,7,50,"pub",42,6,0,1,0,1,0.285714285714286,0.285714285714286,0.428571428571429,57424,0.128709250487601,10,18107.0862039708
"4",4,1004,2018,45,2,6,"pub",16,2,0,0,0,1,0.5,0.5,0,16610,0.0918121613485852,0,16974.9279811098
"5",5,1005,2018,54,10,74,"pub",53,8,1,1,0,1,1,0,0,123862,0.0721771003213253,9,32254.8583556131
"6",6,1006,2018,60,4,32,"pub",6,4,0,0,0,1,0,1,0,46486,0.0901991997590672,5,22804.0659178876
"7",7,1007,2018,18,4,33,"pub",8,3,0,1,0,1,0.5,0.25,0.5,55724,0.0883999712870576,0,19339.6995737195
"8",8,1008,2018,10,2,5,"pub",7,2,0,0,0,1,0.5,0.5,0,9331,0.0983817382917158,5,19773.0143783479
"9",9,1009,2018,11,2,13,"pub",7,2,0,0,0,1,0,1,0.5,21924,0.0940977923736544,0,17795.0994776553
"10",10,1010,2018,13,3,18,"pub",9,3,0,0,0,1,0.666666666666667,0.333333333333333,0.333333333333333,20444,0.0921052631578947,0,17128.8959760807
"11",11,1011,2018,70,6,39,"pub",37,6,0,0,0,1,0.166666666666667,0.666666666666667,0.5,56753,0.0574771377724526,3,28024.9549028896
"12",12,2001,2018,361,43,370,"mixed",209,28,3,12,0,3,0.27906976744186,0.348837209302326,0.674418604651163,448406,0.11136113254506,174,37821.4596838012
"13",13,2002,2018,449,111,760,"pub",383,111,0,0,0,1,1,0,0,1027202,0.110099084698044,134,42543.895829025
"14",14,2003,2018,115,5,107,"mixed",66,3,0,2,0,2,0,0,1,106967,0.0996849495638842,23,39819.5657507959
"15",15,2004,2018,851,343,1769,"pub",594,245,42,22,34,1,0.384839650145773,0.553935860058309,0.329446064139942,1849955,0.0832452681281437,274,44641.3722031295
"16",16,2005,2018,44,11,198,"mixed",4,11,0,0,0,2,0.818181818181818,0.181818181818182,0,119644,0.105930928420982,43,40098.0021663778
"17",17,3001,2018,126,18,161,"pub",72,0,15,3,0,1,0.722222222222222,0.277777777777778,0.111111111111111,72576,0.124021715167549,32,31201.0032680775
"18",18,3002,2018,119,26,149,"pub",62,7,11,8,0,1,0.115384615384615,0.461538461538462,0.653846153846154,63042,0.100520288061927,73,34946.9049270792
"19",19,3003,2018,180,42,435,"pub",97,33,0,6,3,1,0.69047619047619,0.30952380952381,0.0714285714285714,284167,0.119412176642608,113,46750.1098760173
"20",20,3008,2018,151,28,310,"pub",16,28,0,0,0,1,1,0,0,328583,0.0539985330951388,156,48285.5971858564
"21",21,3009,2018,51,14,30,"pub",27,7,7,0,0,1,0.285714285714286,0.571428571428571,0.285714285714286,17786,0.105926009220735,39,40256.3238704518
"22",22,4001,2018,17,4,17,"pub",4,2,0,1,1,1,1,0,0,57962,0.121976467340671,22,20271.8322775264
"23",23,4002,2018,238,33,233,"mixed",224,12,2,0,19,2,1,0,0,287061,0.120681666962771,102,33661.8371332486
"24",24,4003,2018,194,12,318,"mixed",158,12,0,0,0,2,1,0,0,243294,0.0899981092834184,192,49468.6940473731
"25",25,4004,2018,30,8,23,"pub",21,4,0,4,0,1,0.75,0,0.25,79141,0.102525871545722,29,21418.1266480966
"26",26,4005,2018,34,4,40,"pub",7,2,2,0,0,1,0,1,0,31194,0.111079053664166,4,21139.8481461497
"27",27,4006,2018,10,1,24,"pub",1,0,0,1,0,1,1,0,0,41265,0.0999394159699503,7,14459.3076989845
"28",28,4007,2018,68,3,14,"pub",21,1,1,1,0,1,0.666666666666667,0.333333333333333,0,8616,0.129874651810585,7,18930.8500899974
"29",29,4008,2018,6,2,7,"pub",1,1,0,0,1,1,1,0,0,11112,0.109161267098632,0,18802.7705235941
"30",30,4009,2018,23,3,33,"pub",22,3,0,0,0,1,1,0,0,58776,0.0945113651830679,20,19552.5951474685
"31",31,4010,2018,14,1,18,"pub",6,1,0,0,0,1,1,0,0,30746,0.0780589344955441,18,15183.9180463576
"32",32,4011,2018,32,4,20,"pub",18,1,2,1,0,1,0.75,0,0.25,45770,0.0982302818440026,13,15703.2660900265
"33",33,5002,2018,59,16,135,"priv",51,12,2,2,0,1,0.25,0.75,0,157795,0.0695966285370259,20,27936.3487546729
"34",34,5003,2018,17,4,25,"pub",14,4,0,0,0,1,1,0,0,22979,0.115583793898777,5,33610.253689168
"35",35,5004,2018,16,6,30,"priv",3,6,0,0,0,1,0.333333333333333,0.5,0.166666666666667,28168,0.111971030957114,0,24553.6347186014
"36",36,5006,2018,7,3,21,"pub",3,0,3,0,0,1,0,1,0,28484,0.112589523943266,0,27033.2523993519
"37",37,5007,2018,39,3,9,"pub",34,2,1,0,0,1,0.666666666666667,0.333333333333333,0.333333333333333,12773,0.12776951381821,10,24343.0108724953
"38",38,5009,2018,57,8,27,"pub",37,0,8,0,0,1,0.25,0.75,0.75,58364,0.106435473922281,14,19874.8188772807
"39",39,5010,2018,112,18,86,"pub",89,14,0,4,0,1,0.0625,0.9375,0,80967,0.107241221732311,9,32149.620932573
"40",40,5011,2018,4,1,5,"pub",3,1,0,0,0,1,1,0,0,11858,0.147748355540563,0,18565.3390036452
"42",42,5014,2018,7,2,1,"pub",6,0,0,2,0,1,0,1,1,9591,0.11854863934939,0,23934.8679245283
"43",43,5015,2018,15,3,1,"pub",0,0,2,1,0,1,0.666666666666667,0,0.333333333333333,1583,0.140240050536955,0,23219.9710144928
"44",44,5016,2018,8,1,1,"pub",0,0,0,1,0,1,0,1,1,1779,0.187745924676785,0,24635.4754098361
"45",45,5017,2018,54,6,30,"mixed",34,5,0,1,0,2,0,0.5,1,116104,0.105681113484462,6,21751.5768820821
"46",46,5018,2018,215,36,187,"pub",143,17,13,6,0,1,0.583333333333333,0.416666666666667,0,233598,0.122462521083228,28,43079.1124301015
"47",47,5019,2018,24,2,11,"pub",0,0,2,0,0,1,0.5,0.5,0.5,7983,0.122134535888764,4,29681.047926915
"48",48,5020,2018,7,13,73,"pub",0,9,0,4,0,1,0.230769230769231,0.615384615384615,0.461538461538462,70666,0.126142699459429,12,25427.665374162
"49",49,5021,2018,4,2,1,"pub",0,0,2,0,0,1,0.5,0.5,0,6495,0.137028483448807,0,26505.5340683174
"50",50,5022,2018,161,10,20,"mixed",25,0,6,4,0,2,0.1,0.6,0.9,32088,0.0919346796310147,3,28389.5553505535
"51",51,5023,2018,17,2,3,"pub",3,2,0,0,0,1,0,0,1,9911,0.117848854807789,0,25937.2796391753
"52",52,5024,2018,36,5,40,"pub",33,5,0,0,0,1,1,0,0,44657,0.128244172246232,21,22030.3351984521
"53",53,5025,2018,106,13,120,"priv",0,13,0,0,0,1,1,0,0,171622,0.0925405833750918,25,30873.4264612727
"54",54,5027,2018,51,12,60,"pub",21,10,1,1,0,1,1,0,0,112885,0.0602117198919254,11,41881.3158208386
"55",55,5028,2018,42,6,80,"pub",0,6,0,0,0,1,0.833333333333333,0.166666666666667,0,64015,0.120659220495196,14,34582.8605488079
"56",56,5030,2018,284,58,750,"pub",245,58,0,0,0,1,0.672413793103448,0.327586206896552,0.0172413793103448,848995,0.0973492187822072,62,39211.0970403917
"57",57,5031,2018,26,5,20,"pub",6,0,4,1,0,1,0.6,0.2,0.2,24237,0.131369393901886,5,31319.2649492584
