"","folio","X.1","X","anyo","staff_t","tot_veh","can_ton","reg","base","compact","truck","pickup","o_veh","n_orgs","a_10","a_20","a_15plus","POBTOT","P60","hoteles","ingpc2015","regim"
"1",1001,1855,1,2020,299,58,697.54,"pub",72,40,5,8,5,1,0.568965517241379,0.413793103448276,0.206896551724138,948990,0.108522745234407,111,35871.1482725854,"pub"
"2",1002,1856,2,2020,23,5,25.8,"pub",6,5,0,0,0,1,0.2,0.4,0.6,51536,0.09114017385905,0,16395.9292836738,"pub"
"3",1003,1857,3,2020,83,7,65,"pub",45,6,1,0,0,1,0.285714285714286,0.285714285714286,0.428571428571429,58250,0.134403433476395,10,18107.0862039708,"pub"
"4",1004,1858,4,2020,10,2,19,"pub",0,2,0,0,0,1,0,1,0.5,17000,0.0948823529411765,0,16974.9279811098,"pub"
"5",1005,1859,5,2020,62,9,75,"pub",57,8,0,1,0,1,0.666666666666667,0.333333333333333,0.111111111111111,129929,0.0755412571481348,9,32254.8583556131,"pub"
"6",1006,1860,6,2020,27,5,32.997,"pub",8,5,0,0,0,1,0,0.4,0.8,47646,0.0940477689627671,5,22804.0659178876,"pub"
"7",1007,1861,7,2020,22,5,30,"pub",12,4,0,1,0,1,0.4,0.2,0.4,57369,0.0917568721783542,0,19339.6995737195,"pub"
"8",1008,1862,8,2020,11,2,6.314,"pub",3,2,0,0,0,1,0.5,0.5,0.5,9552,0.100083752093802,5,19773.0143783479,"pub"
"9",1009,1863,9,2020,8,2,13.5,"pub",6,2,0,0,0,1,0,1,0.5,22485,0.0959750945074494,0,17795.0994776553,"pub"
"10",1010,1864,10,2020,14,3,14,"pub",2,3,0,0,0,1,0,1,1,20853,0.0953340046995636,0,17128.8959760807,"pub"
"11",1011,1865,11,2020,39,8,43.567,"pub",12,8,0,0,0,1,0.375,0.25,0.375,61997,0.0578737680855525,3,28024.9549028896,"pub"
"12",2001,1866,12,2020,322,27,355.66,"mixed",214,20,2,4,1,3,0.777777777777778,0.222222222222222,0,443807,0.120464526246769,174,37821.4596838012,"pub_priv"
"13",2002,1867,13,2020,444,70,763,"pub",346,70,0,0,0,1,0.385714285714286,0.557142857142857,0.385714285714286,1049792,0.117103197585807,134,42543.895829025,"pub"
"14",2003,1868,14,2020,73,16,100,"pub",50,11,1,4,0,1,0.25,0,0.75,108440,0.106372187384729,23,39819.5657507959,"pub"
"15",2004,1869,15,2020,878,356,1793.989,"pub",611,265,83,6,2,1,0.471910112359551,0.5,0.224719101123595,1922523,0.0880520024987998,274,44641.3722031295,"pub"
"16",2005,1870,16,2020,54,11,198.09,"mixed",3,11,0,0,0,2,0.818181818181818,0.181818181818182,0,126890,0.112632989203247,43,40098.0021663778,"pub_priv"
"17",3001,1871,17,2020,126,16,146.5,"pub",72,12,2,2,0,1,0.75,0.25,0.125,73021,0.132140069295134,32,31201.0032680775,"pub"
"18",3002,1872,18,2020,152,26,145.6,"pub",64,13,13,0,0,1,0.461538461538462,0.538461538461538,0.423076923076923,64022,0.105291930898754,73,34946.9049270792,"pub"
"19",3003,1873,19,2020,171,40,421,"pub",89,34,4,2,0,1,0.45,0.475,0.275,292241,0.127521463449687,113,46750.1098760173,"pub"
"20",3008,1874,20,2020,164,55,362.723,"pub",15,27,9,11,8,1,0.909090909090909,0.0909090909090909,0.0181818181818182,351111,0.0566629926148711,156,48285.5971858564,"pub"
"21",3009,1875,21,2020,65,14,30,"pub",24,6,3,4,1,1,0.142857142857143,0.571428571428571,0.5,18052,0.113893197429648,39,40256.3238704518,"pub"
