"","folio","anyo","staff_t","base","tot_veh","can_ton","compact","truck","pickup","a_10","POBTOT","P60","hoteles","ingpc2015"
"1",1001,2016,252,110,26,646.19,26,0,0,0.461538461538462,893226,0.0923540067127468,111,35871.1482725854
"2",1002,2016,5,4,4,24,4,0,0,0.5,46658,0.0853229885550174,0,16395.9292836738
"3",1003,2016,80,42,4,40,4,0,0,0.5,56430,0.117171717171717,10,18107.0862039708
"4",1005,2016,70,40,6,69.37,6,0,0,0.833333333333333,124568,0.0618296833857813,9,32254.8583556131
"5",1006,2016,22,8,4,34.2,4,0,0,0.75,47395,0.077771916868868,5,22804.0659178876
"6",1007,2016,18,17,4,33.6,3,1,0,0.5,54808,0.07931323894322,0,19339.6995737195
"7",1008,2016,8,8,2,5.224,2,0,0,1,8987,0.0896851007010126,5,19773.0143783479
"8",1009,2016,12,11,2,25,2,0,0,0.5,21178,0.100434413070167,0,17795.0994776553
"9",1010,2016,10,9,2,26,2,0,0,0.5,20528,0.0940666406858924,0,17128.8959760807
"10",1011,2016,20,13,5,32,5,0,0,0.6,48591,0.052787553250602,3,28024.9549028896
"11",2001,2016,367,212,37,388.24,23,8,3,0.72972972972973,490604,0.0946995947852035,174,37821.4596838012
"12",2002,2016,467,393,140,763,140,0,0,1,998735,0.0995208939308225,134,42543.895829025
"13",2003,2016,115,66,22,101.9,16,0,2,0.681818181818182,102671,0.0945641904724801,23,39819.5657507959
"14",2004,2016,706,584,239,1579.16,161,14,8,0.514644351464435,1657947,0.0775754592879025,274,44641.3722031295
"15",2005,2016,46,10,11,125.08,11,0,0,1,97947,0.0961132040797574,43,40098.0021663778
"16",3001,2016,84,55,20,108.5,14,5,0,0.95,72914,0.115931096908687,32,31201.0032680775
"17",3002,2016,211,101,39,131,11,11,3,0.41025641025641,60382,0.100294789838031,73,34946.9049270792
"18",3003,2016,162,102,37,489.391,32,5,0,0.675675675675676,276879,0.102275723330408,113,46750.1098760173
"19",3008,2016,183,28,22,337.554,22,0,0,1,297508,0.0534909985613832,156,48285.5971858564
"20",3009,2016,26,12,7,14.5,5,0,2,0,19347,0.126944745955445,39,40256.3238704518
"21",4001,2016,14,4,5,26.25,4,1,0,1,57266,0.118971117242343,22,20271.8322775264
"22",4002,2016,200,185,24,276,14,10,0,1,287829,0.109439979988118,102,33661.8371332486
"23",4003,2016,117,97,22,289.14,13,5,4,0.590909090909091,253745,0.0847937890401781,192,49468.6940473731
"24",4004,2016,25,7,16,54.3,5,7,2,0.5625,91689,0.0950168504400746,29,21418.1266480966
"25",4005,2016,133,23,6,11,0,2,0,1,31815,0.0994813767090995,4,21139.8481461497
"26",4006,2016,5,0,3,18,3,0,0,1,40565,0.094860101072353,7,14459.3076989845
"27",4007,2016,16,5,2,14,2,0,0,0.5,9095,0.115777899945025,7,18930.8500899974
"28",4008,2016,13,2,2,5,1,0,0,1,10851,0.108284950695788,0,18802.7705235941
"29",4009,2016,32,20,4,55,3,0,1,1,59427,0.0927356252208592,20,19552.5951474685
"30",4010,2016,13,3,3,27,2,1,0,1,28732,0.0777182235834609,18,15183.9180463576
"31",4011,2016,33,18,6,16.5,2,2,1,0.833333333333333,44416,0.0905529538904899,13,15703.2660900265
"32",5001,2016,8,2,2,1.1,1,0,1,0.5,1004,0.201195219123506,0,22268.9689119171
"33",5002,2016,82,82,10,100.18,10,0,0,0.6,150020,0.0701173176909745,20,27936.3487546729
"34",5003,2016,16,15,5,20,5,0,0,1,22650,0.0988520971302428,5,33610.253689168
"35",5004,2016,63,9,6,10,6,0,0,0.5,23416,0.121583532627263,0,24553.6347186014
"36",5006,2016,6,3,3,19.4,3,0,0,1,28503,0.0974634249026418,0,27033.2523993519
"37",5007,2016,16,6,4,8,3,0,0,0.5,13653,0.111477330989526,10,24343.0108724953
"38",5009,2016,58,28,11,36,9,0,0,0.363636363636364,58897,0.103672513031224,14,19874.8188772807
"39",5010,2016,32,28,18,101.539,13,1,3,0.833333333333333,82146,0.0921773427799284,9,32149.620932573
"40",5011,2016,9,9,2,4,2,0,0,0,12629,0.144033573521261,0,18565.3390036452
"41",5012,2016,4,0,1,1.8,0,0,1,1,1618,0.147095179233622,0,24022.5197080292
"42",5013,2016,4,0,1,1.7,0,1,0,1,1508,0.0875331564986737,0,23612.0715396579
"43",5014,2016,4,3,1,1.4,1,0,0,0,10305,0.116545366327026,0,23934.8679245283
"44",5015,2016,8,0,3,1,2,0,1,0.666666666666667,1569,0.125557680050988,0,23219.9710144928
"45",5017,2016,340,314,3,45.29,3,0,0,1,109308,0.0909357046144838,6,21751.5768820821
"46",5018,2016,193,108,28,187.12,28,0,0,1,234087,0.110450388103568,28,43079.1124301015
"47",5019,2016,4,4,2,9,2,0,0,0,8677,0.120779071107526,4,29681.047926915
"48",5020,2016,33,5,10,75,10,0,0,0,69556,0.114900224279717,12,25427.665374162
"49",5021,2016,4,0,2,3.016,2,0,0,0.5,6670,0.133583208395802,0,26505.5340683174
"50",5022,2016,28,13,2,32,2,0,0,0,31252,0.0781070011519263,3,28389.5553505535
"51",5023,2016,20,0,2,3,2,0,0,0,11807,0.108833742695011,0,25937.2796391753
"52",5024,2016,104,68,5,40,5,0,0,1,44679,0.113767094160568,21,22030.3351984521
"53",5025,2016,35,0,13,150,13,0,0,0.307692307692308,165753,0.0809457445717423,25,30873.4264612727
"54",5026,2016,12,0,2,1.2,0,0,2,0.5,3270,0.139755351681957,0,21711.3987034036
"55",5027,2016,39,28,9,35,7,1,1,1,96301,0.0604874300370713,11,41881.3158208386
"56",5028,2016,41,1,5,64.85,5,0,0,1,64057,0.11080756201508,14,34582.8605488079
"57",5029,2016,5,0,1,3,1,0,0,0,2369,0.117771211481638,0,28315.6268221574
"58",5030,2016,248,206,52,600,52,0,0,0.923076923076923,824020,0.0905706172180287,62,39211.0970403917
"59",5031,2016,28,11,4,16.86,4,0,0,0.75,23875,0.122890052356021,5,31319.2649492584
"60",5032,2016,24,18,16,45,4,4,8,0.625,43549,0.14829272773198,5,29569.2422110553
"61",5033,2016,79,74,10,120,8,0,2,0.8,106840,0.112298764507675,9,17183.4964133
"62",5034,2016,5,0,1,3,0,1,0,1,7111,0.0802981296582759,6,30626.8104163211
"63",5035,2016,340,314,56,530,45,3,6,0.910714285714286,687220,0.110443526090626,83,35138.1359350808
"64",5036,2016,6,0,1,2,1,0,0,0,21595,0.112294512618662,0,15037.0274825944
