"","folio","staff_t","staff_p","base","n_orgs","p_priv","p_base","compact","truck","pickup","o_veh","a_10","a_20","large_v","p_comp","tot_veh","can_ton","bas_sep","sistema","pobtot2018","P60","hoteles","ingpc2015"
"1","10001",12,0,8,1,0,0.666666666666667,3,2,1,0,0.333333333333333,0.166666666666667,0.833333333333333,0.5,6,10,"No","Otra",31441,0.142075633726663,0,19045.9189202699
"2","10002",4,0,3,1,0,0.75,0,0,1,0,0,1,0,0,1,6,"No","Casa",4282,0.0969173283512377,3,19554.1325833668
"3","10003",9,0,0,1,0,0,1,0,2,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,3,4,"No","Casa",4170,0.12757793764988,0,13234.4469413233
"4","10004",16,0,0,1,0,0,3,0,0,0,1,0,1,1,3,10,"No","Casa",34696,0.123818307585889,7,19436.093955095
"5","10005",272,245,231,5,0.900735294117647,0.849264705882353,39,0,0,6,0.644444444444444,0.355555555555556,0.866666666666667,0.866666666666667,45,510,"No","Otra",667411,0.105158590433781,96,30865.729066725
"6","10006",3,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,"No","Casa",10157,0.146992222112829,3,13674.3335064935
"7","10007",177,0,54,1,0,0.305084745762712,0,0,28,1,0.172413793103448,0.620689655172414,0,0,29,367,"No","Casa",363793,0.101890360727117,24,25349.1518941061
"8","10008",13,0,0,1,0,0,4,0,0,0,0.75,0.25,1,1,4,30,"No","Cont/Casa",36164,0.127779006747041,7,18998.6018729436
"9","10009",8,0,0,1,0,0,2,0,0,0,1,0,1,1,2,5,"No","Otra",9925,0.133501259445844,3,25167.7269772481
"10","10010",4,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,"No","Casa",3929,0.195215067447188,0,18000.1146040589
"11","10011",3,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2,"No","Casa",4856,0.215815485996705,0,16792.6793760832
"12","10012",160,0,132,1,0,0.825,14,1,14,0,0.448275862068966,0.551724137931034,0.517241379310345,0.482758620689655,29,80,"No","Casa",158859,0.104451117028308,11,23031.9763291753
"13","10013",18,0,6,1,0,0.333333333333333,3,0,0,0,1,0,1,1,3,3,"No","Casa",26577,0.107988110019942,13,16982.4915972986
"14","10014",3,0,0,1,0,0,1,0,0,0,1,0,1,1,1,5,"No","Otra",45548,0.060990603319575,3,14121.9333333333
"15","10015",6,0,0,1,0,0,0,3,0,0,1,0,1,0,3,9,"No","Casa",12795,0.161000390777648,4,15142.0135269986
"16","10016",19,0,0,1,0,0,4,0,0,0,0.25,0.75,1,1,4,12,"No","Otra",18944,0.145111908783784,4,19515.6426962918
"17","10017",11,0,0,1,0,0,1,0,0,0,1,0,1,1,1,4,"No","Casa",8330,0.198679471788715,4,20751.2783306581
"18","10018",13,0,0,1,0,0,2,0,0,0,0.5,0.5,1,1,2,15,"No","Cont/Casa",10568,0.184140802422407,5,25143.5255712731
"19","10019",4,0,3,1,0,0.75,1,0,0,0,1,0,1,1,1,3,"No","Otra",4984,0.0981139646869984,4,16936.584178499
"20","10020",9,0,0,1,0,0,0,3,0,0,0.666666666666667,0.333333333333333,1,0,3,20,"No","Casa",12511,0.155862840700184,0,18641.0813722711
"21","10021",8,0,3,1,0,0.375,0,2,1,0,0,0.666666666666667,0.666666666666667,0,3,5,"No","Casa",10985,0.145015930814747,4,14784.4644831986
"22","10022",32,0,31,1,0,0.96875,3,0,0,0,0.666666666666667,0.333333333333333,1,1,3,25,"No","Otra",25478,0.136352931941283,3,16345.9796585543
"23","10023",57,0,40,1,0,0.701754385964912,6,0,0,0,1,0,1,1,6,25,"No","Casa",50850,0.0749065880039331,24,19506.1066957694
"24","10024",12,0,0,1,0,0,1,1,0,0,0.5,0,1,0.5,2,11,"No","Casa",12812,0.151810802372776,5,17803.1708887935
"25","10025",3,0,0,1,0,0,0,1,0,0,0,0,1,0,1,2,"No","Otra",2953,0.24856078564172,0,19062.655226209
"26","10026",7,0,7,1,0,1,0,1,2,0,0.333333333333333,0.666666666666667,0.333333333333333,0,3,30,"No","Otra",17803,0.0932988822108633,11,24954.6197852323
"27","10027",4,0,0,1,0,0,1,0,0,0,0,1,1,1,1,8,"No","Casa",5387,0.159086690180063,0,11346.4684292379
"28","10028",4,0,0,1,0,0,0,1,0,0,1,0,1,0,1,15,"No","Otra",11983,0.153300509054494,3,18485.7141412865
"29","10029",6,0,0,1,0,0,2,0,0,0,0.5,0.5,1,1,2,1,"No","Casa",2117,0.16343882853094,0,17193.4575230297
"30","10030",4,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0.286,"No","Casa",1645,0.18419452887538,0,13853.6020806242
"31","10031",4,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,"No","Casa",6779,0.164035993509367,0,12964.3990416031
"32","10032",19,0,17,1,0,0.894736842105263,6,1,0,0,0.285714285714286,0.714285714285714,1,0.857142857142857,7,42,"No","Casa",48358,0.116857603705695,21,22211.3737621737
"33","10033",5,0,5,1,0,1,1,0,0,0,0,1,1,1,1,3,"No","Casa",6889,0.143707359558717,0,15515.41588386
"34","10034",69,0,0,1,0,0,0,0,2,0,1,0,0,0,2,7,"No","Casa",26312,0.0846001824262694,3,20193.6591928251
"35","10035",9,0,8,1,0,0.888888888888889,0,2,0,0,0,1,1,0,2,12,"No","Casa",11249,0.168992799359943,3,20005.6131795717
"36","10036",11,0,0,1,0,0,3,0,0,0,1,0,1,1,3,6,"No","Casa",21364,0.12965736753417,0,16879.8001732602
"37","10037",3,0,3,1,0,1,0,1,0,0,1,0,1,0,1,2,"No","Cont/Casa",9173,0.094843562629456,4,21224.9274700171
