"","folio","...1","X","anyo","staff_t","tot_veh","can_ton","reg","base","compact","truck","pickup","o_veh","n_orgs","a_10","a_20","a_15plus","POBTOT","P60","hoteles","ingpc2015","est_trs"
"1",1001,1,1,2018,681,78,677,"pub",278,53,8,11,6,1,0.58974358974359,0.371794871794872,0.102564102564103,918594,0.103032460477643,111,35871.1482725854,1
"2",1001,1855,1,2020,299,58,697.54,"pub",72,40,5,8,5,1,0.568965517241379,0.413793103448276,0.206896551724138,948990,0.108522745234407,111,35871.1482725854,1
"3",1002,2,2,2018,8,5,26,"pub",5,0,5,0,0,1,0.4,0.2,0.4,50324,0.0889237739448375,0,16395.9292836738,1
"4",1002,1856,2,2020,23,5,25.8,"pub",6,5,0,0,0,1,0.2,0.4,0.6,51536,0.09114017385905,0,16395.9292836738,1
"5",1003,3,3,2018,80,7,50,"pub",42,6,0,1,0,1,0.285714285714286,0.285714285714286,0.428571428571429,57424,0.128709250487601,10,18107.0862039708,1
"6",1003,1857,3,2020,83,7,65,"pub",45,6,1,0,0,1,0.285714285714286,0.285714285714286,0.428571428571429,58250,0.134403433476395,10,18107.0862039708,1
"7",1004,1858,4,2020,10,2,19,"pub",0,2,0,0,0,1,0,1,0.5,17000,0.0948823529411765,0,16974.9279811098,0
"8",1004,4,4,2018,45,2,6,"pub",16,2,0,0,0,1,0.5,0.5,0,16610,0.0918121613485852,0,16974.9279811098,0
"9",1005,5,5,2018,54,10,74,"pub",53,8,1,1,0,1,1,0,0,123862,0.0721771003213253,9,32254.8583556131,0
"10",1005,1859,5,2020,62,9,75,"pub",57,8,0,1,0,1,0.666666666666667,0.333333333333333,0.111111111111111,129929,0.0755412571481348,9,32254.8583556131,0
"11",1006,6,6,2018,60,4,32,"pub",6,4,0,0,0,1,0,1,0,46486,0.0901991997590672,5,22804.0659178876,1
"12",1006,1860,6,2020,27,5,32.997,"pub",8,5,0,0,0,1,0,0.4,0.8,47646,0.0940477689627671,5,22804.0659178876,1
"13",1007,7,7,2018,18,4,33,"pub",8,3,0,1,0,1,0.5,0.25,0.5,55724,0.0883999712870576,0,19339.6995737195,1
"14",1007,1861,7,2020,22,5,30,"pub",12,4,0,1,0,1,0.4,0.2,0.4,57369,0.0917568721783542,0,19339.6995737195,1
"15",1008,1862,8,2020,11,2,6.314,"pub",3,2,0,0,0,1,0.5,0.5,0.5,9552,0.100083752093802,5,19773.0143783479,1
