"","X","id","nombre","entidad","capinstt","pobtot","pobh","pobm","staff","contrato","survtec","certif","estud","capacit","sinsent","sex","seg","fed","fed_com","anio","ocup","psisent","logcap","pctmen","pfed","pfed_plus"
"1",1,1001,"CENTRO DE REINSERCION SOCIAL AGUASCALIENTES",1,1156,956,956,0,187,"public","tech","no_certif",92,284,458,"men","med",96,23,2019,0.826989619377163,0.47907949790795,7.05272104923232,1,0.100418410041841,0.124476987447699
"2",2,1002,"CENTRO DE REINSERCION SOCIAL EL LLANO",1,610,509,509,0,146,"public","tech","certif",114,330,26,"men","med",73,3,2019,0.834426229508197,0.0510805500982318,6.41345895716736,1,0.143418467583497,0.149312377210216
"3",3,1003,"CENTRO DE REINSERCION SOCIAL PARA MUJERES",1,120,99,0,99,75,"public","tech","no_certif",35,38,46,"women","med",19,0,2019,0.825,0.464646464646465,4.78749174278205,0,0.191919191919192,0.191919191919192
"4",10,3001,"CENTRO PENITENCIARIO LA PAZ",3,699,518,484,34,152,"public","tech","no_certif",146,222,282,"mixed","min",135,0,2019,0.741058655221745,0.544401544401544,6.54965074223381,0.934362934362934,0.260617760617761,0.260617760617761
"5",11,3002,"CENTRO PENITENCIARIO SAN JOSÉ DEL CABO",3,915,368,368,0,96,"public","tech","no_certif",131,159,162,"men","min",16,11,2019,0.402185792349727,0.440217391304348,6.81892406527552,1,0.0434782608695652,0.0733695652173913
"6",12,3003,"CENTRO PENITENCIARIO CIUDAD CONSTITUCIÓN",3,143,167,160,7,66,"public","tech","no_certif",45,0,57,"mixed","min",2,0,2019,1.16783216783217,0.341317365269461,4.96284463025991,0.958083832335329,0.0119760479041916,0.0119760479041916
"7",13,3004,"CENTRO PENITENCIARIO SANTA ROSALÍA",3,126,146,146,0,49,"public","no_tech","no_certif",10,12,76,"men","min",0,0,2019,1.15873015873016,0.520547945205479,4.83628190695148,1,0,0
"8",14,4001,"CENTRO PENITENCIARIO SAN FRANCISCO, KOBEN, CAMPECHE.",4,1400,937,910,27,212,"public","tech","no_certif",254,61,286,"mixed","min",68,0,2019,0.669285714285714,0.305229455709712,7.24422751560335,0.971184631803629,0.0725720384204909,0.0725720384204909
"9",15,4002,"CENTRO PENITENCIARIO DE CD. DEL CARMEN",4,382,313,299,14,30,"public","tech","no_certif",123,50,133,"mixed","min",4,0,2019,0.819371727748691,0.424920127795527,5.94542060860658,0.955271565495208,0.012779552715655,0.012779552715655
"10",16,5001,"CENTRO PENITENCIARIO FEMENIL PIEDRAS NEGRAS",5,60,56,0,56,14,"public","tech","certif",42,0,28,"women","min",4,0,2019,0.933333333333333,0.5,4.0943445622221,0,0.0714285714285714,0.0714285714285714
"11",17,5002,"CENTRO PENITENCIARIO VARONIL PIEDRAS NEGRAS",5,864,622,622,0,63,"public","tech","no_certif",60,80,288,"men","min",3,0,2019,0.719907407407407,0.463022508038585,6.76157276880406,1,0.00482315112540193,0.00482315112540193
"12",18,5003,"CENTRO PENITENCIARIO FEMENIL SALTILLO",5,66,63,0,63,31,"public","tech","certif",25,0,25,"women","min",0,0,2019,0.954545454545455,0.396825396825397,4.18965474202643,0,0,0
"13",19,5004,"CENTRO PENITENCIARIO VARONIL SALTILLO",5,1020,634,634,0,76,"public","tech","no_certif",269,92,255,"men","min",7,0,2019,0.62156862745098,0.402208201892744,6.92755790627832,1,0.0110410094637224,0.0110410094637224
"14",20,5005,"CENTRO PENITENCIARIO VARONIL TORREÓN",5,1094,718,718,0,81,"public","tech","no_certif",121,38,301,"men","min",2,12,2019,0.656307129798903,0.419220055710306,6.99759598298193,1,0.00278551532033426,0.0194986072423398
"15",21,6001,"CENTRO DE REINSERCIÓN SOCIAL DE COLIMA",6,2755,1061,1005,56,178,"public","tech","no_certif",203,402,423,"mixed","min",204,0,2019,0.385117967332123,0.398680490103676,7.92117272158701,0.947219604147031,0.192271442035815,0.192271442035815
"16",22,6002,"CENTRO DE REINSERCIÓN SOCIAL MANZANILLO",6,775,283,283,0,156,"public","tech","no_certif",158,0,99,"men","med",40,0,2019,0.365161290322581,0.34982332155477,6.65286302935335,1,0.141342756183746,0.141342756183746
"17",23,6003,"RECLUSORIO PREVENTIVO DE TECOMÁN",6,149,56,56,0,47,"public","tech","no_certif",41,0,56,"men","min",0,0,2019,0.375838926174497,1,5.00394630594546,1,0,0
"18",24,7001,"01 CHIAPA DE CORZO",7,152,46,46,0,137,"public","tech","certif",9,0,15,"men","min",0,0,2019,0.302631578947368,0.326086956521739,5.02388052084628,1,0,0
"19",25,7002,"03 TAPACHULA VARONIL",7,946,837,837,0,165,"public","tech","no_certif",206,95,400,"men","min",43,0,2019,0.884778012684989,0.4778972520908,6.85224256905188,1,0.0513739545997611,0.0513739545997611
"20",26,7003,"04 TAPACHULA FEMENIL",7,78,46,0,46,57,"public","tech","no_certif",17,0,26,"women","min",10,0,2019,0.58974358974359,0.565217391304348,4.35670882668959,0,0.217391304347826,0.217391304347826
