CLUES,clave_mun,Año,Clave Estado,Institución,Tipología,¿Cuenta con expediente clínico electrónico?,Total personal médico en formación,Total médicos generales especialistas y odonólogos,Total enfermeras en contacto con el paciente,TOTAL CAMAS AREA HOSPITALIZACIÓN,Quirófanos,egresos,dias,POBTOT,P60,PURB,n,X,ingreso,ing_pc,NIVEL ATENCION,imss,issste,third,a13,a14,a15,a16,a17,a18,a19,a20,a21,Q1,Q4,Q2,Q3,centro,norte,occidente,sur,covid,logpob,loginc,exp_elect,doctors_tot,pct_form
ASIMS000016,1001,2012,1,IMSS,HGZ,0,0,179,392,141,4,10553,46289,827406,0.08415094886911625,0.9316224441205406,10,1,5502125998,6649.85025247581,SEGUNDO NIVEL,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,13.626050784614772,8.802349614971666,0,179,0
ASIMS000016,1001,2018,1,IMSS,HGZ,1,41,207,422,141,5,12176,43033,918594,0.10303463771807785,0.9457845359320876,10,1,5502125998,5989.725600210757,SEGUNDO NIVEL,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,13.730599519173857,8.697800880412581,1,248,0.16532258064516128
ASIMS000016,1001,2019,1,IMSS,HGZ,1,42,209,413,141,5,12671,46044,933792,0.10582335252390254,0.947875972379288,10,1,5502125998,5892.239383074603,SEGUNDO NIVEL,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,13.747008994337277,8.681391405249162,1,251,0.16733067729083664
ASIMS000016,1001,2021,1,IMSS,HGZ,1,3,217,415,174,5,13698,50873,964188,0.11113703966446378,0.9518610478454408,10,1,5502125998,5706.486699689272,SEGUNDO NIVEL,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,13.779041575325497,8.649358824260942,1,220,0.013636363636363636
ASIMS000016,1001,2020,1,IMSS,HGZ,1,4,209,405,159,5,8225,33047,948990,0.10852274523440712,0.9499004204470016,10,1,5502125998,5797.875634095196,SEGUNDO NIVEL,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,13.763153540128748,8.66524685945769,1,213,0.018779342723004695
ASIMS000016,1001,2015,1,IMSS,HGZ,1,1,194,413,141,4,14249,44909,873000,0.09408591065292096,0.939073310423826,10,1,5502125998,6302.549825887743,SEGUNDO NIVEL,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,13.67969083482174,8.748709564764699,1,195,0.005128205128205128
ASIMS000016,1001,2013,1,IMSS,HGZ,1,0,181,396,141,5,10504,44817,842604,0.08758206702080693,0.9341956601202938,10,1,5502125998,6529.907285035438,SEGUNDO NIVEL,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,13.644252375726799,8.78414802385964,1,181,0
ASIMS000016,1001,2017,1,IMSS,HGZ,1,2,183,406,141,5,14689,50696,903396,0.10015209276994806,0.9436227302312608,10,1,5502125998,6090.4918751023915,SEGUNDO NIVEL,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,13.713916274475327,8.714484125111111,1,185,0.010810810810810811
ASIMS000016,1001,2016,1,IMSS,HGZ,0,117,196,320,141,4,11139,47590,888198,0.09717090108286666,0.941386943001448,10,1,5502125998,6194.70658344198,SEGUNDO NIVEL,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,13.6969499700925,8.731450429493938,0,313,0.3738019169329074
ASIMS000016,1001,2014,1,IMSS,HGZ,1,0,181,396,141,5,14367,44703,857802,0.09089160435625004,0.9366776948526584,10,1,5502125998,6414.214466741742,SEGUNDO NIVEL,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,13.662128582608014,8.766271816978424,1,181,0
ASIMS000021,1001,2021,1,IMSS,HGZ,1,298,301,516,220,8,8067,42195,964188,0.11113703966446378,0.9518610478454408,10,1,5502125998,5706.486699689272,SEGUNDO NIVEL,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,13.779041575325497,8.649358824260942,1,599,0.4974958263772955
ASIMS000021,1001,2017,1,IMSS,HGZ,1,111,254,505,207,8,19861,71119,903396,0.10015209276994806,0.9436227302312608,10,1,5502125998,6090.4918751023915,SEGUNDO NIVEL,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,13.713916274475327,8.714484125111111,1,365,0.3041095890410959
ASIMS000021,1001,2013,1,IMSS,HGZ,1,82,250,483,187,9,10330,50491,842604,0.08758206702080693,0.9341956601202938,10,1,5502125998,6529.907285035438,SEGUNDO NIVEL,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,13.644252375726799,8.78414802385964,1,332,0.2469879518072289
ASIMS000021,1001,2012,1,IMSS,HGZ,0,81,251,476,187,5,10458,49899,827406,0.08415094886911625,0.9316224441205406,10,1,5502125998,6649.85025247581,SEGUNDO NIVEL,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,13.626050784614772,8.802349614971666,0,332,0.24397590361445784
ASIMS000021,1001,2015,1,IMSS,HGZ,1,86,247,497,207,7,18686,61597,873000,0.09408591065292096,0.939073310423826,10,1,5502125998,6302.549825887743,SEGUNDO NIVEL,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,13.67969083482174,8.748709564764699,1,333,0.25825825825825827
ASIMS000021,1001,2018,1,IMSS,HGZ,1,204,260,520,207,8,14886,64363,918594,0.10303463771807785,0.9457845359320876,10,1,5502125998,5989.725600210757,SEGUNDO NIVEL,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,13.730599519173857,8.697800880412581,1,464,0.4396551724137931
ASIMS000021,1001,2020,1,IMSS,HGZ,1,221,286,532,207,8,7566,42780,948990,0.10852274523440712,0.9499004204470016,10,1,5502125998,5797.875634095196,SEGUNDO NIVEL,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,13.763153540128748,8.66524685945769,1,507,0.4358974358974359
ASIMS000021,1001,2019,1,IMSS,HGZ,1,233,261,517,207,8,15021,63589,933792,0.10582335252390254,0.947875972379288,10,1,5502125998,5892.239383074603,SEGUNDO NIVEL,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,13.747008994337277,8.681391405249162,1,494,0.4716599190283401
ASIMS000021,1001,2016,1,IMSS,HGZ,0,101,255,432,207,7,15056,65157,888198,0.09717090108286666,0.941386943001448,10,1,5502125998,6194.70658344198,SEGUNDO NIVEL,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,13.6969499700925,8.731450429493938,0,356,0.28370786516853935
ASIMS000021,1001,2014,1,IMSS,HGZ,1,82,250,483,187,9,18151,56217,857802,0.09089160435625004,0.9366776948526584,10,1,5502125998,6414.214466741742,SEGUNDO NIVEL,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,13.662128582608014,8.766271816978424,1,332,0.2469879518072289
ASIST000016,1001,2015,1,ISSSTE,HG,0,12,123,174,82,4,3755,15982,873000,0.09408591065292096,0.939073310423826,10,1,5502125998,6302.549825887743,SEGUNDO NIVEL,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,13.67969083482174,8.748709564764699,0,135,0.08888888888888889
ASIST000016,1001,2019,1,ISSSTE,HG,0,0,163,226,80,6,4661,21111,933792,0.10582335252390254,0.947875972379288,10,1,5502125998,5892.239383074603,SEGUNDO NIVEL,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,13.747008994337277,8.681391405249162,0,163,0
ASIST000016,1001,2012,1,ISSSTE,HG,0,12,107,176,82,4,4967,19187,827406,0.08415094886911625,0.9316224441205406,10,1,5502125998,6649.85025247581,SEGUNDO NIVEL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,13.626050784614772,8.802349614971666,0,119,0.10084033613445378
ASIST000016,1001,2018,1,ISSSTE,HG,0,1,173,288,82,6,4922,22087,918594,0.10303463771807785,0.9457845359320876,10,1,5502125998,5989.725600210757,SEGUNDO NIVEL,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,13.730599519173857,8.697800880412581,0,174,0.005747126436781609
ASIST000016,1001,2016,1,ISSSTE,HG,0,13,123,174,90,5,4220,4220,888198,0.09717090108286666,0.941386943001448,10,1,5502125998,6194.70658344198,SEGUNDO NIVEL,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,13.6969499700925,8.731450429493938,0,136,0.09558823529411764
ASIST000016,1001,2020,1,ISSSTE,HG,0,0,128,221,80,6,3162,15743,948990,0.10852274523440712,0.9499004204470016,10,1,5502125998,5797.875634095196,SEGUNDO NIVEL,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,13.763153540128748,8.66524685945769,0,128,0
ASIST000016,1001,2017,1,ISSSTE,HG,0,13,154,284,82,4,4443,21010,903396,0.10015209276994806,0.9436227302312608,10,1,5502125998,6090.4918751023915,SEGUNDO NIVEL,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,13.713916274475327,8.714484125111111,0,167,0.07784431137724551
ASIST000016,1001,2013,1,ISSSTE,HG,0,0,117,174,82,4,5073,19474,842604,0.08758206702080693,0.9341956601202938,10,1,5502125998,6529.907285035438,SEGUNDO NIVEL,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,13.644252375726799,8.78414802385964,0,117,0
