"","clave_mun","loc","id","SHPANIO","SREENTIDAD","SRETIPOEST","persmednom","persmedac","pers_otro","pers_para","camas_c","consultorios","quiro","procedq","consulta","dias","pmuj","CVE_ZM","servs","tot_servs","mshare","mshare2","hhi","POBTOT","urb","P60","ing_pc","type","staff","staff_ac","staff_otro","grande","chico","metro","centro","noroeste","norte","occidente","spec"
"1",1001,1.01,"1001 45 0854",2020,1,21,0,80,9,9,4,0,2,1114,0,3342,0.587073608617594,1.01,1114,23778,4.68500294389772,21.9492525843303,1400.69431740898,948990,0.949900420447002,0.108522745234407,5797.8756340952,"gen",18,1,0.5,0,1,0,0,0,0,1,0
"2",1001,1.01,"1001 1 0888",2020,1,21,1,182,17,27,16,0,2,2974,0,10854,0.808910058840011,1.01,2974,23778,12.5073597443015,156.434047773373,1400.69431740898,948990,0.949900420447002,0.108522745234407,5797.8756340952,"gen",45,0.994535519125683,0.377777777777778,0,0,0,0,0,0,1,0
"3",1001,1.01,"1001 43 0290",2020,1,21,0,93,100,93,44,2,5,1851,0,42090,0.515963045257865,1.01,1851,23778,7.78450668685339,60.5985443576652,1400.69431740898,948990,0.949900420447002,0.108522745234407,5797.8756340952,"gen",193,1,0.518134715025907,1,0,0,0,0,0,1,0
"4",1001,1.01,"1001 34 0939",2020,1,21,0,26,8,8,6,0,2,621,0,1893,0.421553090332805,1.01,621,23778,2.6116578349735,6.82075664697849,1400.69431740898,948990,0.949900420447002,0.108522745234407,5797.8756340952,"gen",16,1,0.5,0,0,0,0,0,0,1,0
"5",1001,1.01,"1001 40 0939",2020,1,22,0,3,32,46,20,1,5,3452,3448,12627,0.869708842283168,1.01,6900,23778,29.0184203885945,842.068721849197,1400.69431740898,948990,0.949900420447002,0.108522745234407,5797.8756340952,"spec",78,1,0.41025641025641,1,0,0,0,0,0,1,1
"6",1001,1.01,"1001 25 0572",2020,1,21,5,0,63,93,33,3,6,1331,0,21918,0.531981655804972,1.01,1331,23778,5.59761123727816,31.3332515637027,1400.69431740898,948990,0.949900420447002,0.108522745234407,5797.8756340952,"gen",161,0,0.391304347826087,1,0,0,0,0,0,1,0
"7",1001,1.01,"1001 24 0642",2020,1,26,2,0,1,12,10,2,2,246,0,3114,0.698857736240914,1.01,246,23778,1.03456977037598,1.0703346097758,1400.69431740898,948990,0.949900420447002,0.108522745234407,5797.8756340952,"spec",15,0,0.0666666666666667,0,0,0,0,0,0,1,1
"8",1001,1.01,"1001 31 0572",2020,1,21,0,14,29,14,7,10,2,549,0,5226,0.579464988198269,1.01,549,23778,2.30885692657078,5.33082030737387,1400.69431740898,948990,0.949900420447002,0.108522745234407,5797.8756340952,"gen",43,1,0.674418604651163,0,0,0,0,0,0,1,0
"9",1001,1.01,"1001 29 2193",2020,1,21,0,20,13,14,10,10,2,465,0,6264,0.519497863247863,1.01,465,23778,1.95558920010093,3.82432911955141,1400.69431740898,948990,0.949900420447002,0.108522745234407,5797.8756340952,"gen",27,1,0.481481481481481,0,0,0,0,0,0,1,0
"10",1001,1.01,"1001 47 0869",2020,1,21,11,0,63,2,48,0,4,2276,0,42540,0.545557253937662,1.01,2276,23778,9.57187316006392,91.6207557923521,1400.69431740898,948990,0.949900420447002,0.108522745234407,5797.8756340952,"gen",76,0,0.828947368421053,1,0,0,0,0,0,1,0
"11",1001,1.01,"1001 35 1373",2020,1,21,1,11,8,5,10,2,2,162,367,642,0.825905292479109,1.01,529,23778,2.22474556312558,4.94949282064695,1400.69431740898,948990,0.949900420447002,0.108522745234407,5797.8756340952,"gen",14,0.916666666666667,0.571428571428571,0,0,0,0,0,0,1,0
"12",1001,1.01,"1001 39 0892",2020,1,21,0,21,16,29,29,7,3,2950,0,15108,0.641919378698225,1.01,2950,23778,12.4064261081672,153.919408777413,1400.69431740898,948990,0.949900420447002,0.108522745234407,5797.8756340952,"gen",45,1,0.355555555555556,1,0,0,0,0,0,1,0
