"","clave_mun","id","SHPANIO","SREENTIDAD","SRETIPOEST","muni","persmednom","persmedac","pers_otro","pers_para","camas_c","consultorios","quiro","procedq","consulta","dias","pmuj","POBTOT","ingreso","ing_pc","P60","gral","urb","num","grande","chico","metro","centro","noroeste","norte","occidente","staff","staff_ac","staff_otro"
"1",1001,"1001 25 0572",2020,1,21,1001,5,0,63,93,33,3,6,1331,0,21918,0.531981655804972,948990,5502125998,5797.8756340952,0.108522745234407,1,0.949900420447002,18,1,0,0,0,0,0,1,161,0,0.391304347826087
"2",1001,"1001 24 0642",2020,1,26,1001,2,0,1,12,10,2,2,246,0,3114,0.698857736240914,948990,5502125998,5797.8756340952,0.108522745234407,0,0.949900420447002,18,0,0,0,0,0,0,1,15,0,0.0666666666666667
"3",1001,"1001 47 0869",2020,1,21,1001,11,0,63,2,48,0,4,2276,0,42540,0.545557253937662,948990,5502125998,5797.8756340952,0.108522745234407,1,0.949900420447002,18,1,0,0,0,0,0,1,76,0,0.828947368421053
"4",1001,"1001 45 0854",2020,1,21,1001,0,80,9,9,4,0,2,1114,0,3342,0.587073608617594,948990,5502125998,5797.8756340952,0.108522745234407,1,0.949900420447002,18,0,1,0,0,0,0,1,18,1,0.5
"5",1001,"1001 32 2140",2020,1,21,1001,30,24,44,26,45,11,3,464,0,4440,0.612873134328358,948990,5502125998,5797.8756340952,0.108522745234407,1,0.949900420447002,18,1,0,0,0,0,0,1,100,0.444444444444444,0.44
"6",1001,"1001 37 0869",2020,1,21,1001,6,0,24,22,24,23,2,398,0,10179,0.583063748810656,948990,5502125998,5797.8756340952,0.108522745234407,1,0.949900420447002,18,1,0,0,0,0,0,1,52,0,0.461538461538462
"7",1001,"1001 29 2193",2020,1,21,1001,0,20,13,14,10,10,2,465,0,6264,0.519497863247863,948990,5502125998,5797.8756340952,0.108522745234407,1,0.949900420447002,18,0,0,0,0,0,0,1,27,1,0.481481481481481
"8",1001,"1001 31 0572",2020,1,21,1001,0,14,29,14,7,10,2,549,0,5226,0.579464988198269,948990,5502125998,5797.8756340952,0.108522745234407,1,0.949900420447002,18,0,0,0,0,0,0,1,43,1,0.674418604651163
"9",1001,"1001 34 0939",2020,1,21,1001,0,26,8,8,6,0,2,621,0,1893,0.421553090332805,948990,5502125998,5797.8756340952,0.108522745234407,1,0.949900420447002,18,0,0,0,0,0,0,1,16,1,0.5
"10",1001,"1001 2 0835",2020,1,21,1001,0,20,8,10,6,0,2,251,0,753,0.441981747066493,948990,5502125998,5797.8756340952,0.108522745234407,1,0.949900420447002,18,0,0,0,0,0,0,1,18,1,0.444444444444444
"11",1001,"1001 39 0892",2020,1,21,1001,0,21,16,29,29,7,3,2950,0,15108,0.641919378698225,948990,5502125998,5797.8756340952,0.108522745234407,1,0.949900420447002,18,1,0,0,0,0,0,1,45,1,0.355555555555556
"12",1001,"1001 43 0290",2020,1,21,1001,0,93,100,93,44,2,5,1851,0,42090,0.515963045257865,948990,5502125998,5797.8756340952,0.108522745234407,1,0.949900420447002,18,1,0,0,0,0,0,1,193,1,0.518134715025907
