"","loc","clave_mun","id","SHPANIO","SREENTIDAD","SRETIPOEST","persmednom","persmedac","pers_otro","pers_para","camas_c","consultorios","quiro","procedq","consulta","dias","pmuj","servs","tot_servs","hhi","POBTOT","P60","urb","ing_pc","type","staff","staff_ac","staff_otro","grande","chico","metro","centro","noroeste","norte","west","spec"
"1",1.01,1001,"1001 32 2140",2020,1,21,30,24,44,26,45,11,3,464,0,4440,0.612873134328358,464,23778,1400.69431740898,1140916,0.102014521665048,0.916076205434931,5490.24385669059,"gen",100,0.444444444444444,0.44,1,0,0,0,0,0,1,0
"2",1.01,1001,"1001 2 0835",2020,1,21,0,20,8,10,6,0,2,251,0,753,0.441981747066493,251,23778,1400.69431740898,1140916,0.102014521665048,0.916076205434931,5490.24385669059,"gen",18,1,0.444444444444444,0,0,0,0,0,0,1,0
"3",1.01,1001,"1001 1 0888",2020,1,21,1,182,17,27,16,0,2,2974,0,10854,0.808910058840011,2974,23778,1400.69431740898,1140916,0.102014521665048,0.916076205434931,5490.24385669059,"gen",45,0.994535519125683,0.377777777777778,0,0,0,0,0,0,1,0
"4",1.01,1001,"1001 24 0642",2020,1,26,2,0,1,12,10,2,2,246,0,3114,0.698857736240914,246,23778,1400.69431740898,1140916,0.102014521665048,0.916076205434931,5490.24385669059,"spec",15,0,0.0666666666666667,0,0,0,0,0,0,1,1
"5",1.01,1001,"1001 31 0572",2020,1,21,0,14,29,14,7,10,2,549,0,5226,0.579464988198269,549,23778,1400.69431740898,1140916,0.102014521665048,0.916076205434931,5490.24385669059,"gen",43,1,0.674418604651163,0,0,0,0,0,0,1,0
"6",1.01,1001,"1001 43 0290",2020,1,21,0,93,100,93,44,2,5,1851,0,42090,0.515963045257865,1851,23778,1400.69431740898,1140916,0.102014521665048,0.916076205434931,5490.24385669059,"gen",193,1,0.518134715025907,1,0,0,0,0,0,1,0
"7",1.01,1001,"1001 34 0939",2020,1,21,0,26,8,8,6,0,2,621,0,1893,0.421553090332805,621,23778,1400.69431740898,1140916,0.102014521665048,0.916076205434931,5490.24385669059,"gen",16,1,0.5,0,0,0,0,0,0,1,0
"8",1.01,1001,"1001 25 0572",2020,1,21,5,0,63,93,33,3,6,1331,0,21918,0.531981655804972,1331,23778,1400.69431740898,1140916,0.102014521665048,0.916076205434931,5490.24385669059,"gen",161,0,0.391304347826087,1,0,0,0,0,0,1,0
"9",1.01,1001,"1001 47 0869",2020,1,21,11,0,63,2,48,0,4,2276,0,42540,0.545557253937662,2276,23778,1400.69431740898,1140916,0.102014521665048,0.916076205434931,5490.24385669059,"gen",76,0,0.828947368421053,1,0,0,0,0,0,1,0
"10",1.01,1001,"1001 37 0869",2020,1,21,6,0,24,22,24,23,2,398,0,10179,0.583063748810656,398,23778,1400.69431740898,1140916,0.102014521665048,0.916076205434931,5490.24385669059,"gen",52,0,0.461538461538462,1,0,0,0,0,0,1,0
"11",1.01,1001,"1001 29 2193",2020,1,21,0,20,13,14,10,10,2,465,0,6264,0.519497863247863,465,23778,1400.69431740898,1140916,0.102014521665048,0.916076205434931,5490.24385669059,"gen",27,1,0.481481481481481,0,0,0,0,0,0,1,0
"12",1.01,1001,"1001 45 0854",2020,1,21,0,80,9,9,4,0,2,1114,0,3342,0.587073608617594,1114,23778,1400.69431740898,1140916,0.102014521665048,0.916076205434931,5490.24385669059,"gen",18,1,0.5,0,1,0,0,0,0,1,0
"13",1.01,1001,"1001 35 1373",2020,1,21,1,11,8,5,10,2,2,162,367,642,0.825905292479109,529,23778,1400.69431740898,1140916,0.102014521665048,0.916076205434931,5490.24385669059,"gen",14,0.916666666666667,0.571428571428571,0,0,0,0,0,0,1,0
"14",1.01,1001,"1001 39 0892",2020,1,21,0,21,16,29,29,7,3,2950,0,15108,0.641919378698225,2950,23778,1400.69431740898,1140916,0.102014521665048,0.916076205434931,5490.24385669059,"gen",45,1,0.355555555555556,1,0,0,0,0,0,1,0
"15",1.01,1001,"1001 36 2672",2020,1,21,0,17,3,7,5,4,2,859,0,2745,0.883231876037631,859,23778,1400.69431740898,1140916,0.102014521665048,0.916076205434931,5490.24385669059,"gen",10,1,0.3,0,1,0,0,0,0,1,0
"16",1.01,1001,"1001 40 0939",2020,1,22,0,3,32,46,20,1,5,3452,3448,12627,0.869708842283168,6900,23778,1400.69431740898,1140916,0.102014521665048,0.916076205434931,5490.24385669059,"spec",78,1,0.41025641025641,1,0,0,0,0,0,1,1
"17",2.01,2001,"2001 14 0435",2020,2,21,0,8,4,4,2,5,1,140,6989,537,0.851015801354402,7129,23716,1909.39213480848,443807,0.120464526246769,0.900596430430345,5983.35824806729,"gen",8,1,0.5,0,1,0,0,1,0,0,0
"18",2.01,2001,"2001 1 0577",2020,2,21,0,6,11,29,19,13,2,342,1996,6651,0.589579524680073,2338,23716,1909.39213480848,443807,0.120464526246769,0.900596430430345,5983.35824806729,"gen",40,1,0.275,0,0,0,0,1,0,0,0
