clave_municipio,INGTRHOG_EXP,NUMPERS_EXP,ingpc2015
1001,2371973701,793498,35871.14827258544
1002,50698946,37106,16395.929283673802
1003,71136706,47144,18107.086203970815
1004,17972205,12705,16974.9279811098
1005,292559629,108843,32254.85835561313
1006,80028969,42113,22804.065917887587
1007,71455355,44337,19339.699573719467
1008,11689147,7094,19773.0143783479
1009,25550797,17230,17795.099477655254
1010,22915608,16054,17128.895976080727
1011,98601133,42220,28024.95490288963
2001,1302385116,413221,37821.459683801164
2002,2982986528,841386,42543.895829024965
2003,299147806,90151,39819.56575079588
2004,5193703726,1396114,44641.37220312954
2005,277638567,83088,40098.00216637782
3001,163893670,63034,31201.003268077544
3002,147767163,50740,34946.90492707923
3003,887056064,227693,46750.10987601727
3008,1060375857,263526,48285.59718585643
3009,50340533,15006,40256.323870451815
4001,84001405,49725,20271.832277526395
4002,726526236,258997,33661.83713324864
4003,877854955,212948,49468.69404737307
4004,144170765,80775,21418.126648096564
4005,45707875,25946,21139.848146149696
4006,41646421,34563,14459.307698984463
4007,12270346,7778,18930.850089997428
4008,14543943,9282,18802.770523594052
4009,76624991,47027,19552.595147468477
4010,18342173,14496,15183.918046357616
4011,37066251,28325,15703.266090026478
5001,1432637,772,22268.968911917098
5002,295180117,126794,27936.348754672938
5003,53524329,19110,33610.25368916798
5004,40028563,19563,24553.634718601443
5005,2792451,1431,23416.779874213837
5006,54221946,24069,27033.252399351863
5007,22576114,11129,24343.01087249528
5008,3861331,2258,20520.80248007086
5009,78156069,47189,19874.818877280723
5010,191676040,71544,32149.62093257296
5011,15279274,9876,18565.3390036452
5012,2742571,1370,24022.5197080292
5013,2530427,1286,23612.071539657853
5014,15539713,7791,23934.867924528302
5015,2403267,1242,23219.971014492756
5016,3005528,1464,24635.475409836065
5017,175163636,96635,21751.576882082063
5018,720954076,200827,43079.11243010153
5019,17598388,7115,29681.04792691497
5020,116946071,55190,25427.66537416199
5021,12221260,5533,26505.534068317367
5022,61548556,26016,28389.555350553506
5023,20127329,9312,25937.27963917526
5024,70214350,38246,22030.33519845213
5025,357411367,138920,30873.426461272677
5026,4465311,2468,21711.398703403564
5027,292827180,83902,41881.3158208386
5028,153755398,53352,34582.86054880792
5029,4856130,2058,28315.626822157432
5030,2312458110,707695,39211.097040391694
5031,50149973,19215,31319.264949258388
5032,83360622,33830,29569.242211055276
5033,122567016,85594,17183.4964133
5034,15387420,6029,30626.810416321114
5035,1756927294,600007,35138.135935080754
5036,20518024,16374,15037.027482594358
5037,8579787,5116,20124.59812353401
5038,24285168,10619,27443.451925793386
6001,43365390,24788,20993.411328061964
6002,448147449,129080,41662.29770684847
6003,45102296,19426,27860.987954288066
6004,37825782,17578,25822.58413926499
6005,63612564,26569,28730.880650382023
6006,7847860,4534,20770.69254521394
6007,538319077,158852,40665.707224334605
6008,14700021,6871,25673.155581429193
6009,231589454,113062,24580.08391855796
6010,470810387,126193,44770.5074290967
7001,13946940,13436,12456.332241738613
7002,28779027,23005,15011.881069332754
7003,27352744,23736,13828.485338725986
7004,10548886,12374,10230.049458542104
7005,8511317,10923,9350.526778357595
7006,12298896,15854,9309.117699003407
7007,2525481,6430,4713.183825816485
7008,12318962,14801,9987.67272481589
7009,51787039,33096,18777.026468455402
7010,749503,1055,8525.15260663507
