"","clave_mun","ingreso"
"1","01001",5502125998
"2","01002",108055380
"3","01003",118112364
"4","01004",42316320
"5","01005",560185840
"6","01006",163258332
"7","01007",178815651
"8","01008",18103771
"9","01009",45946036
"10","01010",117890087
"11","01011",201595222
"12","02001",2655456274
"13","02002",9141931331
"14","02003",739277687
"15","02004",18628814923
"16","02005",1981084621
"17","02006",402780276
"18","03001",346652829
"19","03002",393637120
"20","03003",1493854411
"21","03008",4397955393
"22","03009",173050237
"23","04001",117292841
"24","04002",1078420253
"25","04003",1104248899
"26","04004",413386921
"27","04005",84277718
"28","04006",61545836
"29","04007",66517158
"30","04008",22657302
"31","04009",124540270
"32","04010",42895486
"33","04011",97110298
"34","04012",0
"35","05001",2672614
"36","05002",695223288
"37","05003",77502038
"38","05004",457024444
"39","05005",2870651
"40","05006",74182133
"41","05007",32846105
"42","05008",5542014
"43","05009",153326042
"44","05010",318840625
"45","05011",40312658
"46","05012",5068809
"47","05013",4382643
"48","05014",24667631
"49","05015",4430384
"50","05016",3723919
"51","05017",1020908171
"52","05018",1114494607
"53","05019",30906153
"54","05020",195397396
"55","05021",18339870
"56","05022",118968309
"57","05023",24601278
"58","05024",123248890
"59","05025",1091697773
"60","05026",8439945
"61","05027",796669029
"62","05028",241806166
"63","05029",6086544
"64","05030",8984714686
"65","05031",134481762
"66","05032",125788002
"67","05033",280804080
"68","05034",36880578
"69","05035",4546520625
"70","05036",70672043
"71","05037",21354554
"72","05038",49159232
"73","06001",80307872
"74","06002",1040526858
"75","06003",69426913
"76","06004",100701365
"77","06005",97236798
"78","06006",13139152
"79","06007",1139835244
"80","06008",36509609
"81","06009",645190157
"82","06010",778361258
"83","07001",26098837
"84","07002",34290180
"85","07003",61661968
"86","07004",89787941
"87","07005",11257503
"88","07006",31319832
"89","07007",5212125
"90","07008",29899788
"91","07009",90494791
"92","07010",2108480
"93","07011",10446558
"94","07012",167791706
"95","07013",43833395
"96","07014",39802731
"97","07015",63856833
"98","07016",18600118
"99","07017",116107567
"100","07018",11314476
"101","07019",491488544
"102","07020",78035266
"103","07021",230023018
"104","07022",23184868
"105","07023",151371984
"106","07024",19452669
"107","07025",5751150
"108","07026",15949260
"109","07027",231020493
"110","07028",6019089
"111","07029",10507167
"112","07030",31399522
"113","07031",123628916
"114","07032",41404500
"115","07033",2716900
"116","07034",117590252
"117","07035",24550765
"118","07036",3516132
"119","07037",84265254
"120","07038",21787807
"121","07039",10737900
"122","07040",119637419
"123","07041",31349109
"124","07042",7048992
"125","07043",19128534
"126","07044",21780511
"127","07045",8586788
"128","07046",92107576
"129","07047",15895076
"130","07048",33040934
"131","07049",20727735
"132","07050",8056607
"133","07051",76499069
"134","07052",86289361
"135","07053",5059366
"136","07054",44841474
"137","07055",13172874
"138","07056",17439696
"139","07057",85626210
"140","07058",1807886
"141","07059",126744848
"142","07060",10905196
"143","07061",222735994
"144","07062",35526023
"145","07063",8635176
"146","07064",32832305
"147","07065",268740479
"148","07066",17257798
"149","07067",6028867
"150","07068",67449014
"151","07069",123716673
"152","07070",2666081
"153","07071",53672676
"154","07072",18566551
"155","07073",12613055
"156","07074",98434490
"157","07075",51483592
"158","07076",22847706
"159","07077",195355030
"160","07078",531114115
"161","07079",92141882
"162","07080",10348192
"163","07081",66161580
"164","07082",4144790
"165","07083",23055154
"166","07084",9189091
"167","07085",11625387
"168","07086",44421557
"169","07087",68108457
"170","07088",2495556
"171","07089",958803471
"172","07090",2842441
"173","07091",14657454
"174","07092",22382479
"175","07093",34927386
"176","07094",70046077
"177","07096",32483926
"178","07097",173436054
"179","07098",2548872
"180","07099",63312951
"181","07100",142331435
"182","07101",2373107473
"183","07102",83532951
"184","07103",66819524
"185","07104",22218137
"186","07105",19241339
"187","07106",52043842
"188","07107",79085151
"189","07108",177750102
"190","07109",45875256
"191","07110",7012345
"192","07111",36723843
"193","07112",25641723
"194","07113",18355239
"195","07114",26079916
"196","07115",342643682
"197","07116",10914270
"198","07117",6049770
"199","07118",4188021
"200","07119",764815
"201","07120",3142224
"202","07121",1078071
"203","07122",23403924
"204","07123",18328885
"205","07124",28343911
"206","07125",0
"207","08001",54930014
"208","08002",217878991
"209","08003",23802542
"210","08004",335377306
"211","08005",85394625
"212","08006",20435675
"213","08007",22391245
"214","08008",7208904
"215","08009",46435616
"216","08010",157224646
"217","08011",145221007
"218","08012",30349303
"219","08013",43604864
"220","08014",7089248
"221","08015",25814219
"222","08016",8768061
"223","08017",1059660820
"224","08018",14218139
"225","08019",16507810039
"226","08020",84510272
"227","08021",700512170
"228","08022",7872912
"229","08023",16849166
"230","08024",19486769
"231","08025",21360413
"232","08026",16362986
"233","08027",100812554
"234","08028",10401346
"235","08029",34452956
"236","08030",15372078
"237","08031",85950852
"238","08032",501329044
"239","08033",5155457
"240","08034",26693646
"241","08035",38798715
"242","08036",104558213
"243","08037",13977929675
"244","08038",14500125
"245","08039",9376977
"246","08040",88032240
"247","08041",1212759
"248","08042",7291136
"249","08043",4875178
"250","08044",9403873
"251","08045",148272356
"252","08046",5181488
"253","08047",6155976
"254","08048",73026965
"255","08049",7513708
"256","08050",552514655
"257","08051",28188426
"258","08052",165053451
"259","08053",76184258
"260","08054",21291205
"261","08055",53153943
"262","08056",2386249
"263","08057",20217837
"264","08058",6792686
"265","08059",27513558
"266","08060",47577747
"267","08061",9739365
"268","08062",109945519
"269","08063",31053888
"270","08064",2934187
"271","08065",30738122
"272","08066",5896493
"273","08067",10837605
"274","09002",3767039169
"275","09003",4865373836
"276","09004",3622460441
"277","09005",8095143724
"278","09006",3344843575
"279","09007",7345718160
"280","09008",1529015059
"281","09009",444605573
"282","09010",9039939783
"283","09011",1614827029
"284","09012",4631721512
"285","09013",1601577873
"286","09014",11971764115
"287","09015",10350579888
"288","09016",7298087993
"289","09017",2192544385
"290","10001",74575645
"291","10002",5318414
"292","10003",4790205
"293","10004",123008518
"294","10005",2177077481
"295","10006",46072774
"296","10007",1182556657
"297","10008",88211300
"298","10009",20029886
"299","10010",8027723
"300","10011",20921947
"301","10012",698270042
"302","10013",75222370
"303","10014",285465572
"304","10015",32249983
"305","10016",45232896
"306","10017",15433344
"307","10018",25871722
"308","10019",3184693
"309","10020",28244586
"310","10021",23585912
"311","10022",43778118
"312","10023",107949961
"313","10024",24918131
"314","10025",5416587
"315","10026",36684945
"316","10027",9335880
"317","10028",23731423
"318","10029",3161463
"319","10030",5057431
"320","10031",38620580
"321","10032",144914448
"322","10033",9504766
"323","10034",120584393
"324","10035",26085334
"325","10036",43416275
"326","10037",17512589
"327","10038",56777803
"328","10039",86163266
"329","11001",200211709
"330","11002",1330397169
"331","11003",545350652
"332","11004",287454959
"333","11005",435278024
"334","11006",16221074
"335","11007",2947676337
"336","11008",95046061
"337","11009",147461141
"338","11010",22130184
"339","11011",269966857
"340","11012",127069079
"341","11013",61351672
"342","11014",367440459
"343","11015",1170428107
"344","11016",50115958
"345","11017",4249144341
"346","11018",95003627
"347","11019",86714792
"348","11020",15233081062
"349","11021",138282198
"350","11022",97174119
"351","11023",385383412
"352","11024",27952956
"353","11025",334953576
"354","11026",177125291
"355","11027",1260960329
"356","11028",228464407
"357","11029",124586308
"358","11030",340311315
"359","11031",646814716
"360","11032",251264921
"361","11033",320060413
"362","11034",11591319
"363","11035",215554088
"364","11036",15514667
"365","11037",754873464
"366","11038",92431805
"367","11039",70265964
"368","11040",52417189
"369","11041",262622510
"370","11042",376381281
"371","11043",46121624
"372","11044",308090894
"373","11045",31842561
"374","11046",122898863
"375","12001",2569286492
"376","12002",16161683
"377","12003",49008191
"378","12004",8931046
"379","12005",9366797
"380","12006",17837796
"381","12007",69351906
"382","12008",13587795
"383","12009",1995236
"384","12010",17613241
"385","12011",134452424
"386","12012",111390119
"387","12013",16344895
"388","12014",62076872
"389","12015",30679330
"390","12016",11609412
"391","12017",51564861
"392","12018",30860882
"393","12019",21233955
"394","12020",51618757
"395","12021",141620111
"396","12022",119678205
"397","12023",56826649
"398","12024",14353365
"399","12025",20965831
"400","12026",6911593
"401","12027",90983444
"402","12028",224667137
"403","12029",822890444
"404","12030",35409462
"405","12031",7584913
"406","12032",23613184
"407","12033",32215605
"408","12034",149045573
"409","12035",399356495
"410","12036",13922089
"411","12037",8931538
"412","12038",538720914
"413","12039",45861522
"414","12040",45624828
"415","12041",45736166
"416","12042",37110649
"417","12043",9988182
"418","12044",24110929
"419","12045",33244208
"420","12046",222267913
"421","12047",8148760
"422","12048",132907736
"423","12049",38413036
"424","12050",79944915
"425","12051",60057140
"426","12052",41718789
"427","12053",114164561
"428","12054",17582737
"429","12055",556994741
"430","12056",35728098
"431","12057",161141826
"432","12058",117772567
"433","12059",79093881
"434","12060",19141453
"435","12061",103294778
"436","12062",32869208
"437","12063",31615516
"438","12064",17488670
"439","12065",8233618
"440","12066",191524440
"441","12067",34476417
"442","12068",58273177
"443","12069",7179770
"444","12070",11629954
"445","12071",41783930
"446","12072",5829069
"447","12073",110879141
"448","12074",35947405
"449","12075",151398422
"450","12076",19428638
"451","12077",26055602
"452","12078",11025412
"453","12079",11805233
"454","12080",14377564
"455","12081",10093249
"456","13001",45024428
"457","13002",96875675
"458","13003",227183887
"459","13004",24739208
"460","13005",56748175
"461","13006",89117596
"462","13007",31384928
"463","13008",293308666
"464","13009",49766180
"465","13010",126970578
"466","13011",25472764
"467","13012",107994023
"468","13013",313285616
"469","13014",19463452
"470","13015",46027301
