clave_mun,staff,presupparcial,light,waste,poli,tax,pobtot2018,P60,ingpc2015,salmed,compstaff,pcollege,progtot,capreg,pagemed,pageold,ptemp,Estado,party,pct_muj,rural,semirural,urbsmall,urbmed,indice_marg,Partido,Ali
1001,8002,2194029879,53588,677,79713,0.136004586,918594,0.10303246,35871.14827,181886.4508,0.235566108,0.167208198,19,0,0.469507623,0.307298175,0.396025994,1,PAN,0.318140264,0,0,0,0,-1.676,PAN,TRUE
1002,427,113255962,3902,26,1535,0.02838306,50324,0.088923774,16395.92928,170311.0539,0.173302108,0.166276347,2,0,0.384074941,0.318501171,0,1,PRI,0.341920375,0,0,1,0,-0.565,PRI-PNA,FALSE
1003,775,248861633,5315,50,4313,0.041532435,57424,0.12870925,18107.0862,147260.3123,0.265806452,0.014193548,7,0,0.401290323,0.28516129,0,1,PAN,0.315864023,0,0,1,0,-0.698,PAN,TRUE
1004,297,71738270,1170,6,1446,0.009816844,16610,0.091812161,16974.92798,174617.6061,0.259259259,0.141414141,2,0,0.383838384,0.326599327,0,1,Other,0.38047138,0,0,1,0,-0.674,PI,FALSE
1005,1186,260948684,8500,74,10370,0.20940549,123862,0.0721771,32254.85836,208667.3179,0.389544688,0.164418212,7,0,0.406408094,0.26222597,0,1,PAN,0.396290051,0,0,0,1,-1.256,PAN,TRUE
1006,659,174854939,2600,32,57038,0.026813505,46486,0.0901992,22804.06592,133319.2337,0.279210926,0.081942337,5,0,0.321699545,0.40060698,0.027314112,1,LEFT,0.385135135,0,0,1,0,-1.129,PRD,FALSE
1007,521,171911687,4062,33,3181,0.048238144,55724,0.088399971,19339.69957,165869.856,0.172744722,0.030710173,15,0,0.424184261,0.295585413,0,1,PRI,0.401639344,0,0,1,0,-1.045,PRI-PNA,FALSE
1008,421,92912966,1325,5,951,0.007766892,9331,0.098381738,19773.01438,125106.5439,0.287410926,0.182897862,0,0,0.451306413,0.142517815,0.368171021,1,PAN,0.410926366,0,1,0,0,-0.735,PAN,TRUE
1009,408,84008488,2835,13,1739,0.021483759,21924,0.094097792,17795.09948,106020.4461,0.071078431,0.068627451,13,0,0.43872549,0.149509804,0,1,PRI,0.49754902,0,0,1,0,-0.595,PVEM,FALSE
1010,316,104662294,2300,18,1439,0.019504169,20444,0.092105263,17128.89598,146763.4905,0.231012658,0.132911392,7,0,0.449367089,0.284810127,0.594936709,1,PRI,0.512658228,0,0,1,0,-0.614,PRI-PNA,FALSE
1011,672,147995550,4096,39,5588,0.06782238,56753,0.057477138,28024.9549,153442.7411,0.34375,0.197916667,13,1,0.401785714,0.266369048,0.25297619,1,PRI,0.3723229,0,0,1,0,-1.156,PRI,FALSE
2001,3090,703993275,23327,370,54788,0.182864921,448406,0.111361133,37821.45968,387253.4939,0.360517799,0,0,0,0.466343042,0.27605178,0,2,PRI,0.23592233,0,0,0,1,-1.323,PRI-PT-PVEM-PNA,FALSE
2002,5847,1610402005,71967,760,110429,0.219531106,1027202,0.110099085,42543.89583,422770.2984,0.199760561,0.094920472,8,0,0.505729434,0.289892252,0.099538225,2,PAN,0.275064267,0,0,0,0,-1.648,PAN,TRUE
2003,1146,218209333,8420,107,29524,0.150057237,106967,0.09968495,39819.56575,323527.8647,0.27486911,0.137870855,18,0,0.497382199,0.29930192,0.148342059,2,PRI,0.317924528,0,0,0,1,-1.408,PRI-PT-PVEM-PNA,FALSE
2004,10584,3572184831,65747,1769,227136,0.235251299,1849955,0.083245268,44641.3722,352036.7677,0.406368103,0,17,0,0.446617536,0.248582766,0.071523054,2,PAN,0.271108318,0,0,0,0,-1.708,PAN,TRUE
3001,1906,291002463,10100,161,4239,0.04139246,72576,0.124021715,31201.00327,178123.8851,0.119097587,0.065582371,8,0,0.452780693,0.269674711,0.003147954,3,PANC,0.371742907,0,0,1,0,-1.017,PAN-PRS,TRUE
3002,1777,127217000,4300,149,1924,0.06552472,63042,0.100520288,34946.90493,154667.9797,0.104670793,0.091164885,10,0,0.43556556,0.314575127,0.005627462,3,PANC,0.428490673,0,0,1,0,-1.051,PAN-PRS,TRUE
3003,3028,620976017,14266,435,13069,0.205573937,284167,0.119412177,46750.10988,246706.1027,0.356340819,0.191215324,0,0,0.468295905,0.319682959,0.00660502,3,PANC,0.271031595,0,0,0,1,-1.658,PAN-PRS,TRUE
3008,3413,1302537364,14222,310,14163,0.405293531,328583,0.053998533,48285.59719,255596.6704,0.104893056,0.179314386,0,0,0.432757105,0.298564313,0,3,PANC,0.204982206,0,0,0,1,-1.296,PAN-PRS,TRUE
3009,931,79923196,1360,30,3016,0.146198968,17786,0.105926009,40256.32387,200484.246,0.146079484,0,0,0,0.456498389,0.290010741,0.322234157,3,PANC,0.40023753,0,0,1,0,-1.345,PAN-PRS,TRUE
4001,801,190203769,5891,17,788,0.01635273,57962,0.121976467,20271.83228,111522.3958,0.097378277,0,0,1,0.463171036,0.353308365,0.229712859,4,LEFT,0.416978777,0,0,1,0,-0.248,MORENA,FALSE
4002,2334,957072419,23958,233,10170,0.066021137,287061,0.120681667,33661.83713,229790.9195,0.280634105,0.172236504,17,0,0.473436161,0.387317909,0.105398458,4,PRI,0.313378685,0,0,0,1,-1.281,PRI-PVEM,TRUE
4003,3166,1051675767,14024,318,4004,0.058320607,243294,0.089998109,49468.69405,204496.7088,0.217308907,0.213518636,13,1,0.403348073,0.256475047,0.066329754,4,PAN,0.325353218,0,0,0,1,-1.186,PAN,FALSE
4004,1084,285733131,5700,23,1177,0.036748496,79141,0.102525872,21418.12665,152326.4889,0.184501845,0.152214022,7,0,0.465867159,0.340405904,0.373616236,4,PRI,0.406432749,0,0,1,0,-0.159,PRI-PVEM,TRUE
4005,695,101969305,3518,40,413,0.014442098,31194,0.111079054,21139.84815,86302.88633,0.149640288,0.129496403,13,0,0.430215827,0.267625899,0.607194245,4,PAN,0.441726619,0,0,1,0,-0.291,PAN,FALSE
4006,559,255747254,4927,24,180,0.010841048,41265,0.099939416,14459.3077,113718.6476,0.193202147,0.220035778,16,0,0.429338104,0.216457961,0.785330948,4,PRI,0.317813765,0,0,1,0,0.361,PRI-PVEM,TRUE
4007,847,57557641,740,14,70,0.023787147,8616,0.129874652,18930.85009,106407.5537,0.101534829,0.132231405,11,0,0.249114522,0.304604486,0,4,PAN,0.419875776,0,1,0,0,0.164,PAN,FALSE
4009,757,215947004,4535,33,822,0.027140493,58776,0.094511365,19552.59515,182051.0898,0.109643329,0.240422721,7,0,0.48348745,0.334214003,0.06340819,4,PRI,0.297619048,0,0,1,0,-0.174,PRI,TRUE
4010,558,156002921,6050,18,384,0.008373658,30746,0.078058934,15183.91805,132433.7491,0.139784946,0.186379928,0,0,0.116487455,0,0.410394265,4,PAN,0.273764259,0,0,1,0,0.706,PAN,FALSE
