"","loc","POBTOT","pob_urb","P60"
"1",1.01,1140916,1045166,116390
"2",2.01,443807,399691,53463
"3",2.02,1049792,966003,122934
"4",2.03,2157853,2096809,195109
"5",3.01,292241,270846,37267
"6",4.01,294077,267558,37321
"7",5.01,1434283,1252140,164764
"8",5.02,374247,365727,46985
"9",5.03,209456,206172,20248
"10",5.04,1031779,996551,100207
"11",6.01,380575,346843,52274
"12",6.02,143931,130637,17099
"13",7.01,353706,254201,37919
"14",7.02,848274,744706,86837
"15",8.01,988065,974318,121637
"16",8.02,195359,173136,25158
"17",8.03,121666,118270,16411
"18",8.04,1512450,1504934,134989
"19",9.01,21804515,21250266,2967831
"20",10.01,688697,623992,75853
"21",11.01,767104,616915,86850
"22",11.02,194500,150620,20789
"23",11.03,1924771,1756028,183913
"24",11.04,108755,94066,16623
"25",11.05,214713,147190,19887
"26",12.01,852622,720194,117874
"27",12.02,336480,295372,33902
"28",13.01,665929,532423,78116
"29",13.02,256795,202505,28728
"30",13.03,268351,201513,30728
"31",14.01,5268642,5121034,600017
"32",14.02,184603,157947,21733
"33",14.03,479471,447194,42157
"34",15.01,183281,132778,17561
"35",15.02,2353924,2002674,236325
"36",16.01,261450,149826,35000
"37",16.02,988704,866971,121856
"38",16.03,273641,247628,32588
"39",17.01,483455,367790,64440
"40",17.02,1028589,911142,147097
"41",18.01,491153,443807,60171
"42",19.01,5341177,5261617,585321
"43",20.01,713925,646228,84903
"44",20.02,179870,150322,24247
"45",21.01,3199530,3020740,360009
"46",21.02,357621,338779,33766
"47",21.03,138806,107418,13840
"48",22.01,1594212,1415502,160986
"49",23.01,934189,928428,60983
"50",23.02,233648,186858,25741
"51",24.01,146049,94433,21102
"52",24.02,1271366,1206169,141573
"53",25.01,1003530,887536,111713
"54",25.02,501441,474212,66475
"55",26.01,208294,175083,27786
"56",26.02,936263,908665,104402
"57",26.03,264782,261137,21032
"58",27.01,833907,667587,91357
"59",28.01,349688,332100,44810
"60",28.02,541979,516075,54690
"61",28.03,425058,423830,42464
"62",28.04,837251,813143,73008
"63",28.05,927379,859679,132895
"64",29.01,570308,509574,64333
"65",30.01,114416,82278,15207
"66",30.02,355738,340360,48515
"67",30.03,335950,241961,46895
"68",30.04,359228,274229,50586
"69",30.05,465175,386858,65949
"70",30.06,521530,337058,81782
"71",30.07,939046,827460,139857
"72",30.08,789157,681388,108578
"73",31.01,1316088,1237948,167870
"74",32.01,405285,370752,40547
"75",1002,51536,17760,4697
"76",1003,58250,28367,7829
"77",1004,17000,8477,1613
"78",1006,47646,35351,4481
"79",1007,57369,42562,5264
"80",1008,9552,5607,956
"81",1009,22485,9114,2158
"82",1010,20853,6307,1988
"83",2006,117568,76417,7796
"84",3001,73021,58680,9649
"85",3002,64022,42684,6741
"86",3008,351111,338979,19895
"87",3009,18052,16311,2056
"88",4001,59232,45571,7445
"89",4003,248845,219186,23814
"90",4004,78170,48846,8353
"91",4005,31917,21026,3659
"92",4006,42140,15852,4331
"93",4007,8683,3485,1164
"94",4008,11452,8748,1273
"95",4009,59923,35338,5915
"96",4010,31714,5729,2560
"97",4011,46913,11121,4804
"98",4012,15297,14127,1977
"99",5001,1022,0,230
"100",5002,163058,160225,11800
"101",5003,23056,21376,2770
"102",5005,1643,0,299
"103",5007,12715,10395,1668
"104",5008,3047,0,433
"105",5011,11898,5535,1781
"106",5012,1643,0,286
"107",5013,1735,0,201
"108",5014,9502,3303,1163
"109",5015,1584,0,225
"110",5016,1764,0,343
"111",5019,7928,6720,1017
"112",5020,71627,67247,9377
"113",5021,6539,4526,922
"114",5023,9642,3651,1187
"115",5024,44472,34798,5952
"116",5026,3239,0,499
"117",5028,64811,62643,8148
"118",5029,2471,0,328
"119",5032,42260,39058,6927
"120",5033,101041,60170,12742
"121",5034,6744,4573,563
"122",5036,20305,3522,2569
"123",5037,6188,5443,785
"124",5038,13135,11150,1818
"125",6006,5623,2985,909
"126",6007,191031,172159,20091
"127",6008,10231,6075,1184
"128",7001,17994,8092,1839
"129",7002,21187,15001,2424
"130",7003,26899,6247,3358
"131",7004,36160,10618,2223
"132",7005,24512,4327,1818
"133",7006,31735,5820,3348
"134",7007,11283,5920,844
"135",7008,31947,18685,2768
"136",7009,41135,28908,6068
"137",7010,7365,0,741
"138",7011,20157,0,2227
"139",7013,37263,14200,2210
"140",7014,24273,11630,1336
"141",7015,50112,24504,5653
"142",7016,17619,3344,2738
"143",7017,88106,52670,9942
"144",7018,9900,3770,978
"145",7019,166178,116220,16157
"146",7020,49920,17300,5114
"147",7021,22192,7125,2684
"148",7022,21915,0,858
"149",7023,101967,4727,6657
"150",7024,13678,9533,804
"151",7025,7472,3498,799
"152",7026,47371,4369,2248
"153",7028,6156,4329,704
"154",7029,5402,3947,582
"155",7030,36785,10429,3590
"156",7031,137262,22052,7276
"157",7032,30896,10624,3653
"158",7033,7245,0,554
"159",7034,80897,28585,7684
"160",7035,14556,6784,1547
"161",7036,7701,0,740
"162",7037,36333,15296,4157
"163",7038,22975,0,2017
"164",7039,27893,3508,2100
"165",7040,53242,32109,6170
"166",7041,46409,14980,4105
"167",7042,11377,3674,964
"168",7043,10961,5309,1096
"169",7044,28999,6481,2160
"170",7045,6284,0,590
"171",7046,41063,14169,6155
"172",7047,24966,11250,1431
"173",7048,21807,7809,2789
"174",7049,31259,3954,1553
"175",7050,5232,0,871
"176",7051,46130,19271,5501
"177",7052,141027,33196,10076
"178",7053,7901,0,1006
"179",7054,28250,12219,3442
"180",7055,5876,2860,707
"181",7056,13755,0,572
"182",7057,76398,30545,7378
"183",7058,4765,4765,334
"184",7059,234661,74436,13329
"185",7060,14088,5330,1089
