Country,RedMeat,WhiteMeat,Eggs,Milk,Fish,Cereals,Starch,Nuts,FrVeg
Albania,10.10,1.40,0.50,8.90,0.20,42.30,0.60,5.50,1.70
Austria,8.90,14.00,4.30,19.90,2.10,28.00,3.60,1.30,4.30
Belgium,13.50,9.30,4.10,17.50,4.50,26.60,5.70,2.10,4.00
Bulgaria,7.80,6.00,1.60,8.30,1.20,56.70,1.10,3.70,4.20
Czechoslovakia,9.70,11.40,2.80,12.50,2.00,34.30,5.00,1.10,4.00
Denmark,10.60,10.80,3.70,25.00,9.90,21.90,4.80,0.70,2.40
EGermany,8.40,11.60,3.70,11.10,5.40,24.60,6.50,0.80,3.60
Finland,9.50,4.90,2.70,33.70,5.80,26.30,5.10,1.00,1.40
France,18.00,9.90,3.30,19.50,5.70,28.10,4.80,2.40,6.50
Greece,10.20,3.00,2.80,17.60,5.90,41.70,2.20,7.80,6.50
Hungary,5.30,12.40,2.90,9.70,0.30,40.10,4.00,5.40,4.20
Ireland,13.90,10.00,4.70,25.80,2.20,24.00,6.20,1.60,2.90
Italy,9.00,5.10,2.90,13.70,3.40,36.80,2.10,4.30,6.70
Netherlands,9.50,13.60,3.60,23.40,2.50,22.40,4.20,1.80,3.70
Norway,9.40,4.70,2.70,23.30,9.70,23.00,4.60,1.60,2.70
Poland,6.90,10.20,2.70,19.30,3.00,36.10,5.90,2.00,6.60
Portugal,6.20,3.70,1.10,4.90,14.20,27.00,5.90,4.70,7.90
Romania,6.20,6.30,1.50,11.10,1.00,49.60,3.10,5.30,2.80
Spain,7.10,3.40,3.10,8.60,7.00,29.20,5.70,5.90,7.20
Sweden,9.90,7.80,3.50,24.70,7.50,19.50,3.70,1.40,2.00
Switzerland,13.10,10.10,3.10,23.80,2.30,25.60,2.80,2.40,4.90
UK,17.40,5.70,4.70,20.60,4.30,24.30,4.70,3.40,3.30
USSR,9.30,4.60,2.10,16.60,3.00,43.60,6.40,3.40,2.90
WGermany,11.40,12.50,4.10,18.80,3.40,18.60,5.20,1.50,3.80
Yugoslavia,4.40,5.00,1.20,9.50,0.60,55.90,3.00,5.70,3.20
